Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1595808077,2020,7,27,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,4.25,0.00,0.00,0.00,
1,1595808080,2020,7,27,0,1,20,16,8,6,6,1,2,1,0,0,1,0,0,0,0,0,0,3.03,2.74,0.51,2.07,15.10,
1,1595808083,2020,7,27,0,1,23,17,4,5,3,2,2,0,1,1,0,0,0,0,0,0,0,3.03,2.71,0.40,1.89,10.42,
1,1595808086,2020,7,27,0,1,26,10,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,2.69,0.33,0.42,0.42,
1,1595808089,2020,7,27,0,1,29,20,7,8,4,1,4,1,0,0,0,0,0,0,0,0,0,3.03,2.73,0.61,2.79,3.83,
1,1595808092,2020,7,27,0,1,32,20,6,6,1,3,1,2,0,0,0,0,0,0,0,0,0,3.03,2.65,0.51,1.62,3.78,
1,1595808095,2020,7,27,0,1,35,17,4,4,3,1,1,0,2,0,0,0,0,0,0,0,0,3.03,2.63,0.37,1.28,6.91,
1,1595808098,2020,7,27,0,1,38,10,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,3.03,2.61,0.22,1.36,2.46,
1,1595808102,2020,7,27,0,1,42,10,7,2,2,3,1,1,1,1,0,0,0,0,0,0,0,3.03,2.65,0.29,1.50,11.32,
1,1595808105,2020,7,27,0,1,45,15,3,2,4,4,2,2,0,0,0,0,0,0,0,0,0,3.03,2.67,0.24,2.24,4.39,
1,1595808108,2020,7,27,0,1,48,21,6,5,1,2,1,4,0,0,0,0,0,0,0,0,0,3.03,2.72,0.46,1.35,5.58,
1,1595808111,2020,7,27,0,1,51,17,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,2.72,0.18,0.37,1.42,
1,1595808114,2020,7,27,0,1,54,24,3,5,1,1,1,1,1,0,0,0,0,0,0,0,0,3.03,2.73,0.43,1.12,4.88,
1,1595808117,2020,7,27,0,1,57,17,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,3.03,2.73,0.27,1.46,1.46,
1,1595808120,2020,7,27,0,2,0,19,10,3,2,0,1,0,0,0,0,0,0,0,0,0,0,3.03,2.75,0.43,1.02,1.02,
1,1595808123,2020,7,27,0,2,3,16,5,3,4,1,2,1,0,0,0,0,0,0,0,0,0,3.03,2.77,0.32,1.68,2.71,
1,1595808126,2020,7,27,0,2,6,20,3,2,6,2,2,0,1,0,0,0,0,0,0,0,0,3.03,2.77,0.26,2.00,4.67,
1,1595808129,2020,7,27,0,2,9,29,6,7,2,1,3,0,0,0,1,0,0,0,0,0,0,3.03,2.79,0.59,2.14,13.89,
