Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594922522,2020,7,16,18,2,2,114,46,41,24,5,1,2,2,0,0,0,1,0,0,0,0,3.00,3.27,2.84,5.93,51.12,
1,1594922525,2020,7,16,18,2,5,100,44,30,23,7,0,1,0,1,0,0,0,0,0,0,0,3.03,3.27,2.30,5.28,10.97,
1,1594922528,2020,7,16,18,2,8,84,30,34,23,8,1,0,0,0,0,0,0,0,0,0,0,3.03,3.36,2.10,5.48,5.48,
1,1594922531,2020,7,16,18,2,11,101,31,38,28,5,1,0,0,0,0,0,0,0,0,0,0,3.03,3.42,2.30,5.55,5.55,
1,1594922534,2020,7,16,18,2,14,107,40,46,23,6,2,1,0,0,0,0,0,0,0,0,0,3.03,3.41,2.75,6.08,6.92,
1,1594922537,2020,7,16,18,2,17,111,52,35,27,4,0,0,1,0,0,0,0,0,0,0,0,3.03,3.47,2.51,5.16,7.30,
1,1594922540,2020,7,16,18,2,20,122,48,32,19,10,2,2,1,0,0,0,0,0,0,0,0,3.03,3.50,2.38,5.93,9.68,
1,1594922543,2020,7,16,18,2,23,140,49,33,23,7,1,1,0,0,0,0,0,0,0,0,0,3.03,3.52,2.50,5.58,6.39,
1,1594922546,2020,7,16,18,2,26,132,44,42,31,6,1,1,0,1,0,0,0,0,0,0,0,3.03,3.47,2.74,6.32,11.68,
1,1594922549,2020,7,16,18,2,29,98,44,34,25,7,5,1,0,0,0,0,0,0,0,0,0,3.03,3.56,2.24,6.65,7.45,
1,1594922552,2020,7,16,18,2,32,110,43,50,27,3,5,1,0,0,0,0,0,0,0,0,0,3.03,3.55,2.84,6.81,7.62,
1,1594922555,2020,7,16,18,2,35,104,46,49,20,4,2,0,1,0,0,0,0,0,0,0,0,3.03,3.55,2.82,5.51,7.60,
1,1594922558,2020,7,16,18,2,38,138,45,37,28,6,0,0,0,0,0,0,0,0,0,0,0,3.03,3.55,2.56,5.52,5.52,
1,1594922561,2020,7,16,18,2,41,168,52,51,31,4,2,1,0,0,0,1,0,0,0,0,0,3.03,3.54,3.28,6.79,26.17,
1,1594922564,2020,7,16,18,2,44,214,84,68,51,9,4,2,1,0,0,0,0,0,0,0,0,3.03,3.62,4.43,10.65,14.27,
1,1594922567,2020,7,16,18,2,47,294,107,93,49,8,10,2,2,0,0,0,0,0,0,0,0,3.03,3.66,5.90,13.56,19.18,
1,1594922570,2020,7,16,18,2,50,251,86,81,43,11,10,3,0,0,0,0,0,0,0,0,0,3.03,3.68,4.99,12.61,14.95,
1,1594922573,2020,7,16,18,2,53,181,93,74,54,9,3,3,2,0,0,0,0,0,0,0,0,3.03,3.69,4.52,10.55,16.89,
1,1594922576,2020,7,16,18,2,56,246,92,81,49,12,3,3,0,0,0,0,0,0,0,0,0,3.03,3.69,5.03,11.12,13.45,
1,1594922579,2020,7,16,18,2,59,254,96,69,46,11,6,3,0,0,0,0,0,0,0,0,0,3.03,3.61,4.82,11.58,13.96,
