Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1596450622,2020,8,3,10,30,22,4,1,3,5,3,4,1,1,0,0,0,0,0,0,0,0,3.00,2.74,0.18,2.85,6.63,
1,1596450625,2020,8,3,10,30,25,3,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,3.03,2.74,0.17,1.06,1.06,
1,1596450628,2020,8,3,10,30,28,2,3,1,2,1,3,1,1,0,0,0,0,0,0,0,0,3.03,2.69,0.11,1.72,5.54,
1,1596450631,2020,8,3,10,30,31,8,2,3,2,0,2,2,0,0,0,0,0,0,0,0,0,3.03,2.75,0.22,1.20,3.28,
1,1596450634,2020,8,3,10,30,34,7,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,3.03,2.73,0.19,0.98,2.03,
1,1596450637,2020,8,3,10,30,37,6,3,2,2,1,4,1,0,0,0,0,0,0,0,0,0,3.03,2.76,0.18,2.15,3.19,
1,1596450640,2020,8,3,10,30,40,5,2,3,3,1,3,2,0,0,0,0,0,0,0,0,0,3.03,2.80,0.20,1.84,3.89,
1,1596450643,2020,8,3,10,30,43,5,4,2,1,1,5,1,0,0,0,0,0,0,0,0,0,3.03,2.72,0.19,2.49,3.55,
1,1596450646,2020,8,3,10,30,46,8,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3.03,2.68,0.26,1.06,4.90,
1,1596450649,2020,8,3,10,30,49,8,3,4,4,0,3,1,0,0,0,0,0,0,0,0,0,3.03,2.72,0.28,1.88,2.93,
1,1596450652,2020,8,3,10,30,52,9,6,3,3,3,3,1,0,1,0,0,0,0,0,0,0,3.03,2.65,0.31,2.43,9.44,
1,1596450655,2020,8,3,10,30,55,3,1,1,4,5,2,1,0,0,0,0,0,0,0,0,0,3.03,2.67,0.08,2.28,3.35,
1,1596450658,2020,8,3,10,30,58,6,4,7,3,0,1,0,0,0,0,0,0,0,0,0,0,3.03,2.72,0.42,1.12,1.12,
1,1596450662,2020,8,3,10,31,2,5,4,5,0,1,2,1,1,0,1,0,0,0,0,0,0,3.03,2.70,0.33,1.34,17.34,
1,1596450665,2020,8,3,10,31,5,3,3,0,3,1,4,2,0,0,0,0,0,0,0,0,0,3.03,2.69,0.07,2.19,4.33,
1,1596450668,2020,8,3,10,31,8,9,2,6,5,4,2,1,0,1,0,0,0,0,0,0,0,3.03,2.71,0.36,2.43,9.28,
