Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc(0.38-100um)[n/ml]
7.416666666666666,7,12,22,0.8972319942868389,0.17767111776782477,0.08927676466740252,0.07597825550035016,0.029324522077738457,0.01895697712169003,0.027050185323531616,0.02292069390116704,0.005628424097197093,0.0,0.0019053716236814824,0.0,0.0,0.0018857791134122641,0.0,0.0,0.10466769366197187,0.275594190140845,1.6734573063380276,2.963478260869566,3.746521739130435,46,-6.104015,49.535010,17,6,0.0,78,10,1028,19,17,13,0.6,0.6,16,0.5552657848559672
7.418010752688172,7,12,23,0.9877214463308899,0.23718989263218593,0.15459513554074056,0.10555892318944572,0.03676092526060464,0.04638723578592754,0.058762011325910087,0.02497500999245273,0.016080556632528747,0.007952993670513397,0.0,0.0023505937337553835,0.0011048258794413997,0.0011245047118996435,0.0,0.0022572291982984657,0.14287652465971362,0.43960977549938113,3.965191797772669,3.057837837837839,3.8829729729729734,74,-6.133763,49.539250,16,11,0.0,74,10,1028,26,16,12,0.7,0.7,16,0.8379763622134178
7.439516129032258,7,13,15,24.393072603373433,7.866486546435235,6.244721291913011,2.54287701519721,0.6226076854319318,0.26160322886068177,0.1710021894503385,0.07120730062607673,0.024843801654782994,0.0025710093499897026,0.002623941895430667,0.0024177242396922136,0.002520170182052053,0.0,0.0,0.00495107003067992,4.728806316352928,8.611719154251047,14.581021500579887,3.0294594594594604,3.577567567567567,37,-6.312680,49.919340,16,31,0.5,94,2,1024,100,16,15,1.0,1.1,16,22.549239291620033
7.444892473118279,7,13,19,0.7315334115313171,0.1315660568962916,0.08768608395307483,0.057490801721776216,0.01861640085295576,0.023310187921437322,0.028354186765032475,0.0047977459022194606,0.0023679637357722663,0.002305152130697728,0.0,0.0012344264755840316,0.0012069947761266086,0.0,0.0012558327150450264,0.0,0.08912531502563667,0.24167376379595018,1.4090940297210393,2.9888311688311697,3.6832467532467534,77,-6.312625,49.919290,16,32,0.4,94,5,1023,94,16,15,0.9,1.2,16,0.44931714887165
7.446236559139785,7,13,20,0.6786474125508537,0.09166212099598209,0.051490288839631665,0.020043173208322895,0.01061047044167616,0.004672747058167557,0.01294665193710101,0.0,0.0011850538636607377,0.0,0.0011696234748109885,0.0,0.0,0.0,0.0,0.0,0.06695531102627443,0.1152665618684033,0.5175427801482145,3.0087837837837847,3.8555405405405407,74,-6.312658,49.919250,16,30,0.2,94,7,1023,89,16,15,0.7,1.3,16,0.2607354408456275
7.44758064516129,7,13,21,0.6837496457071408,0.11171493262381274,0.04369762581867086,0.034294103096141365,0.0068251558257164,0.006541098713504752,0.00464766447144409,0.0009397888557581998,0.0009448687955190548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06747692630401352,0.12700915955810385,0.23357397566773902,3.0109473684210504,3.7610526315789468,95,-6.312670,49.919250,16,28,0.0,94,10,1022,83,16,15,0.7,1.3,16,0.277082164504581
7.448924731182795,7,13,22,1.0020969962868007,0.12537757410223413,0.0801740692858888,0.02415186370392453,0.014286343068721997,0.007125447826563994,0.00828106845965229,0.0011566812686110014,0.0,0.0011720218689904578,0.0,0.0,0.0,0.0,0.0011627690647615855,0.0,0.09933987274655354,0.16494167550371155,0.3792855249204666,3.0176000000000007,3.756133333333332,75,-6.312686,49.919240,16,29,0.0,92,10,1022,69,16,15,0.7,1.3,16,0.3622277113959023
7.450268817204301,7,13,23,2.1767024917264517,0.3833369892832484,0.23974792282079505,0.08870085373254241,0.029124369119592045,0.037377159210782794,0.01732255809047525,0.007392924434484933,0.0012091000740694702,0.0037814700163652714,0.0011958858656096944,0.0011518269126661795,0.0,0.0,0.0,0.0,0.25729986431478963,0.4976132533811879,1.9263430647349744,3.0462666666666673,3.5949333333333326,75,-6.312705,49.919230,16,31,0.0,90,10,1022,54,16,14,0.9,1.4,16,1.067640923875421
7.451612903225806,7,14,0,1.970150444082129,0.36285779505338317,0.21044802705552015,0.10859590116409212,0.03727602041016891,0.04009205480441139,0.03709830030528014,0.009716921944648002,0.0,0.0013907298675510593,0.0027485421822999586,0.0,0.0,0.0,0.0,0.0,0.232655953318205,0.511057287083777,1.7380438104941414,2.957945205479453,3.354109589041096,73,-6.312693,49.919210,16,33,0.0,87,10,1022,40,16,14,0.9,1.4,16,1.0428802461055597
7.452956989247311,7,14,1,1.9918518200804678,0.31467778433385274,0.18193806074836805,0.07965337859374745,0.028147850529019823,0.02852093152540473,0.0271730650349722,0.0039692141778173975,0.0026701587823521823,0.0,0.0,0.0013909231139430302,0.0,0.0,0.0,0.0,0.21610725686316223,0.41842562247286624,1.4007312194083843,3.012179487179488,3.2030769230769227,78,-6.312688,49.919240,16,30,0.0,88,10,1021,60,16,14,0.9,1.4,16,0.8842486237026398
