Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc[0.38-100um][n/ml]
8.49059,8,15,5,1.36612e+07,2.02757e+06,730’367,118’678,54’071.1,62’404.6,51’247.9,17’099,21’821.7,4’441.45,0,4’202.99,0,0,0,0,1.26995,1.65715,5.57248,3.02527,2.84345,55,-7.29766,57.1492,14,12,0,82,10,1’018,4,14,11,0.8,0.8,15,4.36185e+06
8.49194,8,15,6,2.2643e+07,5.84564e+06,3.23134e+06,940’517,125’862,85’627,48’764.9,15’381.3,6’667.98,4’224.73,0,0,0,0,0,0,3.22522,4.45905,5.96588,3.02333,2.80278,54,-7.29768,57.1492,14,10,0,80,10,1’018,5,14,11,0.8,0.8,15,1.35292e+07
8.49328,8,15,7,2.15023e+07,5.07944e+06,2.35554e+06,649’341,71’797.5,51’048.7,83’179.8,14’408.6,21’903.1,31’426.4,17’196.3,46’400,48’602.5,19’420.4,19’141.5,117’567,2.72818,3.52963,29.8691,3,2.78745,51,-7.29767,57.1492,14,10,0,80,10,1’018,6,14,11,0.8,0.8,15,1.13546e+07
8.49462,8,15,8,8.81305e+06,1.03303e+06,356’413,95’130.2,28’852.4,35’841.1,35’877.8,1’999.87,6’072.9,1’999.87,2’270.77,0,0,0,0,0,0.735746,0.976222,2.27367,3.025,2.7769,58,-7.29768,57.1492,14,10,0,79,10,1’018,7,14,11,0.8,0.8,15,2.33324e+06
8.49597,8,15,9,2.45843e+06,265’041,102’937,53’500.6,31’486.2,37’112.9,7’866.76,3’133.98,1’592.94,0,0,0,0,0,0,0,0.203757,0.418924,0.633289,3.02803,2.88155,71,-7.29765,57.1492,15,10,0,79,10,1’018,7,15,11,0.8,0.8,15,706’428
8.49731,8,15,10,2.30719e+06,273’922,145’230,82’301.5,31’466.4,26’170.5,9’224.07,6’585.12,0,0,1’478.11,0,0,0,0,0,0.212437,0.41404,0.936947,3.01167,3.23679,78,-7.20865,57.1823,15,10,0,79,10,1’018,8,15,11,0.8,0.8,15,788’814
8.49866,8,15,11,2.9548e+06,303’074,143’709,47’804.8,24’343,21’524.8,6’219.59,4’918.12,0,0,1’390.73,0,0,0,0,0,0.249091,0.397615,0.839149,3.01234,2.82364,77,-7.13623,57.2518,15,10,0,79,10,1’018,8,15,11,0.8,0.8,15,802’075
8.5,8,15,12,2.62141e+06,266’212,97’806.5,50’489,13’524.3,40’788.5,75’870.9,88’076.3,83’875.4,122’807,97’416.7,122’189,92’422.8,59’485,36’702.4,82’414.2,0.209804,0.406303,85.3233,2.9981,3.13253,79,-7.20723,57.3318,15,9,0,80,10,1’018,9,15,11,0.8,0.8,15,1.53988e+06
8.50134,8,15,13,4.62087e+06,469’291,185’361,46’733.4,13’680.7,33’302.3,13’620.1,3’309.76,5’247.67,3’373.08,1’818.94,8’516.77,6’990.71,8’826.33,3’437.83,3’630.94,0.374425,0.54415,4.93635,3.00914,2.85429,70,-7.24852,57.3255,15,9,0,80,10,1’018,11,15,12,0.8,0.8,15,1.18157e+06
8.50269,8,15,14,1.53513e+06,90’193.2,33’002.3,32’754,0,10’907.9,31’815.2,28’383.5,10’850.9,70’819.8,42’432.1,39’221.6,18’061.3,10’612.3,7’167.76,14’113.7,0.103405,0.165951,32.068,2.97,2.79686,35,-7.24852,57.3255,15,9,0,80,10,1’018,13,15,12,1.2,0.8,15,543’741
8.50403,8,15,15,2.10917e+06,222’040,77’451.7,38’700.2,13’506.5,5’184.86,2’776.93,1’356.83,1’293.82,1’293.82,3’989.12,5’241.68,5’299.47,1’343.74,6’576.67,12’008.9,0.169424,0.238941,3.27755,3.02899,3.15962,79,-7.24854,57.3255,15,9,0,81,10,1’018,15,15,12,1.2,0.8,15,567’488
8.50538,8,15,16,976’248,73’575.6,23’423.3,9’964.9,4’441.39,17’570.9,80’207.7,59’306.4,104’638,147’945,96’293.4,93’581.6,109’796,58’740.4,54’938.1,69’405.4,0.0698677,0.143087,76.7645,3.01267,2.97827,75,-7.24847,57.3255,16,12,0,80,10,1’018,16,16,12,1.2,0.8,15,1.0737e+06
8.50672,8,15,17,3.99966e+06,471’040,146’815,33’508.6,8’056.62,13’518.5,16’582.9,21’720.5,24’455,38’184.3,23’634.9,53’034.3,38’462,17’211.2,11’952.6,34’938.2,0.32883,0.413609,30.9582,3.015,3.20231,78,-7.24852,57.3255,16,15,0,80,10,1’018,17,16,12,1.2,0.8,15,1.28194e+06
8.50806,8,15,18,6.24962e+06,835’844,366’842,56’347.4,17’724.6,12’377.9,19’334.8,11’170.8,24’795.9,47’236.5,42’294.8,40’848.3,35’428.6,20’318.4,13’711.6,32’004.2,0.579635,0.692965,31.0091,3,3.2026,77,-7.24841,57.3254,16,17,0,79,10,1’017,18,16,12,1.2,0.8,15,2.15591e+06
8.50941,8,15,19,4.95616e+06,478’918,162’238,47’714.1,11’182,20’002.1,16’580.3,22’380.9,33’619.7,32’339.2,49’778.9,63’219.5,43’098.1,34’364.4,39’619.9,72’521,0.3844,0.506507,40.0105,3.01228,3.02127,79,-7.24827,57.3255,16,18,0,79,10,1’017,17,16,12,1.2,0.8,15,1.51198e+06
8.51075,8,15,20,5.60358e+06,437’559,151’643,31’604.5,22’123.5,66’638.4,239’025,214’875,246’904,411’174,308’822,358’494,284’225,190’428,145’226,341’711,0.407411,0.688442,258.579,3.01222,2.90173,81,-7.2481,57.3256,16,19,0,78,10,1’018,15,16,12,1.2,0.8,15,3.85786e+06
8.5121,8,15,21,2.42812e+06,210’195,72’687,28’507.2,15’885.7,35’525.2,64’676.6,91’285.9,108’122,187’005,153’502,202’964,167’722,155’077,106’228,251’955,0.181457,0.347749,134.718,3.01686,2.91743,70,-7.24821,57.3256,16,21,0,78,10,1’018,14,16,12,1.2,0.8,15,2.03279e+06
8.51344,8,15,22,2.15084e+06,181’913,54’129.5,23’540.2,12’637.6,11’047.3,9’401.79,4’797.03,4’624.21,4’695.33,1’507.23,0,0,3’341.48,0,0,0.15679,0.232761,1.41109,3.02705,2.77808,78,-7.24848,57.3256,15,19,0,80,10,1’018,13,15,12,1.2,0.8,15,468’425
8.51478,8,15,23,6.03825e+06,507’051,229’075,91’006,35’672.3,71’623.1,50’718.2,9’277.66,5’942.2,15’036.3,0,0,0,0,0,0,0.468419,0.836101,3.26348,3.06585,2.80683,41,-7.24845,57.3255,15,17,0,81,10,1’017,12,15,12,1.1,0.7,15,1.48382e+06
8.51613,8,16,0,9.6557e+06,1.51382e+06,574’492,257’330,146’597,295’292,240’616,82’304.1,33’717.7,24’642,15’234.5,4’514.42,0,0,0,0,0.931773,2.34819,15.1074,2.95055,2.71836,55,-7.24841,57.3254,15,16,0,83,10,1’017,11,15,12,1.1,0.7,15,4.12033e+06
8.51747,8,16,1,1.14882e+07,1.72061e+06,787’946,333’514,215’969,374’105,302’514,75’822,52’195,19’300.5,8’620.37,8’544.2,2’080.95,0,0,0,1.13505,2.98453,16.7019,3.02327,2.82309,55,-7.24839,57.3254,15,15,0,84,10,1’017,13,15,12,1.1,0.7,15,5.03627e+06
8.51882,8,16,2,1.41009e+07,1.71559e+06,788’388,371’289,235’576,499’577,368’360,107’275,55’921.2,48’061.4,13’298.4,12’757.6,4’502.35,2’381.62,0,2’198.42,1.26809,3.59421,24.1664,3.02945,2.80527,55,-7.24849,57.3255,15,14,0,84,10,1’016,15,15,12,1.1,0.7,15,5.49326e+06
8.52016,8,16,3,2.81698e+07,5.32366e+06,2.30375e+06,572’597,242’249,420’930,580’829,372’324,395’306,491’504,398’597,406’760,392’488,294’091,172’662,203’200,3.08531,5.32175,321.052,3.02565,2.83097,62,-7.24842,57.3254,15,13,0,85,10,1’015,17,15,13,1.1,0.7,15,1.56563e+07
8.52151,8,16,4,3.71438e+07,9.49754e+06,5.0422e+06,1.68571e+06,519’276,787’726,862’496,578’724,630’539,733’379,630’483,686’689,449’357,351’235,191’035,189’570,5.17776,9.95474,520.826,3.02233,2.7975,60,-7.24845,57.3255,15,12,0,86,10,1’015,27,15,13,1.1,0.7,15,2.80137e+07
8.52285,8,16,5,3.34862e+07,7.89279e+06,4.02063e+06,1.3988e+06,544’398,963’240,1.1153e+06,835’837,741’650,944’388,781’828,883’696,672’626,448’370,250’612,214’156,4.37573,9.54766,660.177,3.02587,2.85429,63,-7.24848,57.3255,15,11,0,87,10,1’015,36,15,13,1,0.7,15,2.6084e+07
8.52419,8,16,6,2.36895e+07,4.23155e+06,1.72023e+06,424’311,205’131,328’773,343’587,216’045,221’023,234’246,196’136,273’318,299’394,190’673,117’599,156’813,2.47698,4.23098,189.253,3.02409,2.85076,66,-7.24852,57.3254,15,10,0,88,10,1’015,46,15,13,1,0.7,15,1.16358e+07
8.52554,8,16,7,2.89189e+07,4.75257e+06,2.0356e+06,517’783,224’464,387’784,547’949,423’289,398’251,481’899,358’504,389’432,378’615,246’678,138’808,158’684,2.9389,4.99321,306.179,3.02358,2.86075,67,-7.24853,57.3255,15,11,0,88,10,1’015,59,15,13,1,0.7,15,1.43792e+07
8.52688,8,16,8,1.45546e+07,1.42217e+06,407’261,96’290.4,74’409.8,179’956,324’585,301’541,294’563,342’066,258’980,277’309,194’323,127’268,69’388.9,32’013.9,1.10548,1.8974,216.961,3.02215,2.81646,65,-7.24858,57.3255,15,12,0,88,10,1’015,71,15,13,1,0.7,15,5.5076e+06
8.52823,8,16,9,1.45974e+07,1.33479e+06,322’841,114’813,81’908.7,202’877,408’462,352’271,422’621,497’672,322’963,407’326,348’983,202’929,108’984,66’030,1.06366,1.95748,302.83,3.10605,2.92658,38,-7.24855,57.3255,15,13,0,88,10,1’014,84,15,13,1,0.7,15,6.25913e+06
8.56452,8,17,12,3.99769e+06,615’103,313’149,153’867,60’552.9,82’490.1,49’031.4,22’636.9,6’935.23,2’336.71,1’149.16,0,0,0,0,0,0.411962,0.904283,2.62968,2.9875,3.21784,88,-7.21903,57.2112,15,8,0.1,87,10,1’008,58,15,13,0.7,0.6,15,1.71921e+06
8.56586,8,17,13,3.71421e+06,517’587,238’688,134’197,60’463.2,80’336,30’559.2,5’279.65,1’432.19,1’267.27,0,0,0,0,0,0,0.354801,0.824532,1.40248,3.02684,3.14848,79,-7.21723,57.1596,16,6,0.1,87,10,1’008,67,16,13,0.7,0.6,15,1.42461e+06
8.5672,8,17,14,2.53357e+06,326’456,164’413,136’612,57’855,87’709.4,44’595.5,21’058.1,8’370.27,2’895.07,1’326.55,0,0,0,0,0,0.238758,0.730738,2.5426,3.01234,3.08558,77,-7.29198,57.1503,16,5,0,86,10,1’008,76,16,14,0.6,0.6,15,1.09005e+06
8.56855,8,17,15,1.94336e+06,355’628,284’362,237’280,86’035.6,137’758,84’865.6,36’130.5,16’936.9,6’037.57,1’549.46,0,0,0,0,0,0.257396,1.03962,4.30409,3.01132,2.99355,76,-7.29772,57.1491,16,4,0,86,10,1’008,85,16,14,0.6,0.6,15,1.50398e+06
8.56989,8,17,16,2.19448e+06,327’358,254’106,201’663,103’420,135’419,114’669,46’849,21’025.8,12’878.4,5’006.61,1’625.67,0,0,0,0,0.254919,1.02785,6.97499,3.00945,2.98192,73,-7.29766,57.1491,16,6,0.1,85,8,1’007,78,16,13,0.6,0.6,15,1.47894e+06
8.57124,8,17,17,1.58061e+06,187’393,127’483,76’934.7,21’605,36’400.3,29’781.9,7’886.01,10’738,0,2’660.45,2’737.94,2’720.33,0,0,0,0.156371,0.371957,2.89619,3.11053,3.30132,38,-7.29771,57.1491,16,8,0.1,85,7,1’007,72,16,13,0.6,0.6,15,662’712
8.72715,8,22,13,5.2377e+06,859’280,671’371,594’297,284’628,418’052,357’430,99’541.8,47’806.4,36’891.6,19’018.4,9’228.18,7’426.66,1’798.16,0,3’613.92,0.643141,2.95431,21.5445,3.00933,2.80717,60,-7.46095,56.9358,15,18,1.5,86,9,1’001,100,15,12,0.9,0.9,14,4.05352e+06
8.72849,8,22,14,3.82992e+06,726’571,743’487,659’694,383’913,532’141,569’263,134’217,103’139,73’639.3,28’903.2,12’226.9,4’800.68,2’376.67,0,0,0.578898,3.47971,34.1103,3.0054,2.766,50,-7.49245,56.954,15,19,0.8,83,10,1’002,100,15,12,0.9,0.9,14,4.55327e+06
8.72984,8,22,15,2.14783e+08,6.69634e+08,1.41028e+08,1.49401e+06,360’246,393’794,360’352,40’003.9,80’007.9,40’003.9,0,6’667.32,0,0,0,0,163.776,166.847,181.217,2.918,2.736,20,-7.49247,56.954,15,20,0.1,81,10,1’003,100,15,11,0.9,0.9,14,9.77213e+08
8.73118,8,22,16,3.65183e+06,1.02238e+06,1.03264e+06,819’354,340’712,453’582,283’056,64’926.3,39’558.3,21’998.6,8’892.06,2’976.93,0,0,0,0,0.720614,3.41849,14.312,2.99658,2.89342,38,-7.49246,56.954,14,23,0.1,81,10,1’004,84,14,11,0.9,0.9,14,4.8107e+06
8.73253,8,22,17,6.16317e+06,1.35389e+06,1.3791e+06,1.00225e+06,523’086,557’605,291’356,101’625,54’318.3,25’868.8,8’700.3,1’625.9,3’229.89,0,0,1’783.05,1.02629,4.5047,16.8296,3.02159,2.83217,69,-7.49247,56.954,14,26,0,81,10,1’004,68,14,11,1.2,1,14,6.33073e+06
8.73387,8,22,18,6.60113e+06,1.4345e+06,1.43816e+06,1.27156e+06,574’035,676’550,382’063,103’795,39’674.6,8’508.97,4’013.68,4’013.68,4’364.08,0,0,0,1.08384,5.25296,15.97,3.13552,2.90931,29,-7.49245,56.954,14,29,0,81,10,1’005,52,14,11,1.2,1,14,7.02507e+06
8.85215,8,26,10,341’441,24’947.2,21’650.2,5’982.56,0,17’947.7,0,0,0,0,0,0,0,0,0,0,0.0307551,0.0948284,0.0948284,2.80929,3.33286,14,-7.47216,56.9333,13,25,0,79,10,1’010,34,13,10,0.8,0.8,14,101’283
8.85484,8,26,12,16’938.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109063,0.00109063,0.00109063,3.01978,4.25,46,-6.92277,56.9767,13,17,0,78,10,1’012,17,13,10,0.3,0.6,14,1’090.63
8.85618,8,26,13,125’548,0,8’658.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00780497,0.00780497,0.00780497,3.01944,4.25,18,-6.7611,56.9871,13,17,0,77,10,1’012,14,13,10,0.6,0.6,14,16’463.4
8.85753,8,26,14,150’707,0,2’740.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077629,0.0077629,0.0077629,2.96103,4.25,29,-6.57982,57.0053,13,16,0,78,10,1’013,58,13,9,0.9,0.6,13,10’503
8.85887,8,26,15,98’915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398056,0.00398056,0.00398056,2.92769,4.25,13,-6.46201,57.042,13,18,0,80,10,1’013,37,13,9,0.9,0.6,13,3’980.56
8.86022,8,26,16,127’935,0,5’330.63,0,5’330.63,0,0,0,0,0,0,0,0,0,0,0,0.00892388,0.0171613,0.0171613,2.94267,4.25,15,-6.49528,57.0554,12,19,0,79,10,1’013,38,12,9,0.9,0.6,13,19’585.1
8.86156,8,26,17,605’712,294’014,331’401,187’725,113’877,131’253,45’093.5,25’978.2,2’455.75,2’455.75,2’479.91,0,0,0,0,0,0.197288,0.963415,2.7948,3.00477,3.47705,44,-6.49528,57.0554,12,20,0,78,10,1’013,40,12,9,0.9,0.6,13,1.33402e+06
8.8629,8,26,18,1.0471e+06,397’792,384’091,244’510,123’256,131’198,60’171.4,28’230.2,11’859.6,5’908.74,0,0,0,0,0,0,0.254331,1.08162,3.39048,3.05132,2.97553,76,-6.49528,57.0554,12,21,0,77,10,1’013,41,12,8,0.9,0.6,13,1.64135e+06
8.8871,8,27,12,78’431.4,0,0,78’431.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,1.5,2.125,2,-6.25958,57.0793,11,5,1.2,86,9,1’011,95,11,9,0.6,0.4,13,78’431.4
8.88844,8,27,13,117’062,0,0,0,78’041.2,195’103,0,0,0,0,0,0,0,0,0,0,0.00497512,0.775622,0.775622,3.015,4.25,2,-6.14078,57.0343,13,13,1.6,82,9,1’010,98,13,11,0.3,0.1,14,278’119
8.89785,8,27,20,1’857.76,0,928.878,0,0,0,928.878,0,0,0,0,0,0,0,0,0,0.000358849,0.000358849,0.00837314,3.0156,4.25,84,-5.82571,57.0054,14,24,0.1,84,5,1’008,97,14,11,0.7,0.3,14,2’216.61
8.89919,8,27,21,960.463,0,0,960.463,960.463,960.463,0,0,0,0,0,0,0,0,0,0,0,0.00544208,0.00544208,3.02444,4.25,81,-5.82573,57.0054,13,28,0.2,84,2,1’008,100,13,11,0.7,0.3,14,2’881.39
8.90726,8,28,3,938.212,0,0,1’876.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144982,0.00144982,3.02157,4.25,83,-5.82567,57.0054,13,25,0.1,83,10,1’010,100,13,10,0.9,0.4,14,1’876.42
8.91667,8,28,10,949.724,0,0,949.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000733804,0.000733804,3.02134,4.25,82,-5.82573,57.0054,13,26,0,72,10,1’012,14,13,8,0.9,0.5,14,949.724
8.9543,8,29,14,11’949.9,0,3’983.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153885,0.00153885,0.00153885,3.10895,4.36184,38,-6.26529,57.05,13,32,0,65,10,1’018,10,13,6,1,0.7,14,5’522.16
8.98387,8,30,12,38’939.9,0,9’734.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501448,0.00501448,0.00501448,3.02125,4.25,8,-6.28248,56.8138,14,6,0,67,10,1’021,80,14,8,0.2,0.1,14,14’749.4
8.98522,8,30,13,36’625.4,0,0,0,1’592.41,0,0,0,0,0,0,0,0,0,0,0,0.000410125,0.00287087,0.00287087,3.01551,4.25,49,-6.26562,56.7548,14,7,0,67,10,1’020,79,14,8,0.2,0.1,14,2’002.53
8.98656,8,30,14,26’025.9,0,4’003.98,2’001.99,0,0,0,0,0,0,0,0,0,0,0,0,0.00180465,0.00335148,0.00335148,3.01359,4.25,39,-6.22831,56.6954,14,7,0.1,68,10,1’020,78,14,8,0.3,0.1,14,7’810.62
8.9879,8,30,15,42’415.9,0,4’894.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315122,0.00315122,0.00315122,3.00479,4.25,48,-6.09607,56.6751,14,8,0.1,69,10,1’020,78,14,8,0.3,0.1,14,8’045.36
8.98925,8,30,16,32’466.1,0,0,6’834.98,0,1’708.74,0,0,0,0,0,0,0,0,0,0,0.000880174,0.0123224,0.0123224,2.99348,4.25,46,-6.09607,56.6751,13,8,0.1,71,10,1’020,64,13,8,0.3,0.1,14,9’423.9
8.99059,8,30,17,18’766,0,0,0,0,1’563.83,0,0,0,0,0,0,0,0,0,0,0.000201382,0.00543733,0.00543733,3.0092,4.25,50,-6.09607,56.6751,13,8,0,74,10,1’020,49,13,8,0.2,0.1,14,1’765.21
8.99194,8,30,18,18’941.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000487844,0.000487844,0.000487844,2.95762,4.25,21,-6.09607,56.6751,12,8,0,77,10,1’020,35,12,8,0.2,0.1,14,487.844
8.99328,8,30,19,27’248.9,0,1’946.35,1’946.35,0,3’892.7,0,0,0,0,0,0,0,0,0,0,0.00175449,0.0162917,0.0162917,3.09974,4.35897,39,-6.09607,56.6751,11,6,0,82,10,1’020,31,11,8,0.2,0.1,14,9’539.88
9.04704,9,1,11,1.30849e+06,824’904,436’804,339’009,48’319.9,97’024.9,97’024.9,96’639.8,48’319.9,0,0,0,0,0,0,0,0.352078,1.01956,6.33374,2.045,2.3225,4,-6.06553,56.62,13,13,0.2,82,5,1’016,94,13,10,0.8,0.6,13,2.34013e+06
9.04839,9,1,12,1.21332e+06,431’010,390’775,316’873,153’421,246’381,78’200,34’689.4,7’028.98,13’789.5,3’400.63,0,0,0,0,0,0.271229,1.58412,5.42585,3.07083,2.81056,36,-6.06551,56.62,13,12,0.3,86,2,1’016,100,13,11,0.8,0.6,13,1.9468e+06
9.17876,9,5,13,2.41247e+06,1.40109e+06,1.64089e+06,1.42084e+06,745’701,826’628,360’268,116’437,68’502.4,16’012.2,6’175.18,3’044.41,6’473.97,0,0,0,0.93792,5.99758,18.9819,3.02237,2.75579,38,-5.55718,56.443,13,20,0.4,71,10,1’016,75,13,8,0.7,0.3,13,7.54998e+06
9.18145,9,5,15,2.0785e+06,1.32449e+06,1.41522e+06,1.18585e+06,550’528,579’423,360’088,111’987,74’085.3,26’442.4,10’926.7,9’860.52,3’539.84,0,0,3’215.85,0.827699,4.56897,22.3097,3.01171,2.86029,35,-5.47624,56.4165,13,18,0.3,69,9,1’016,84,13,7,0.8,0.3,13,6.48335e+06
9.1828,9,5,16,1.86317e+06,1.16177e+06,1.34291e+06,1.24449e+06,486’142,636’522,286’303,97’578.1,51’476.9,17’304,0,0,0,0,0,0,0.764388,4.64019,13.4876,2.97409,2.80318,22,-5.47628,56.4165,13,16,0.2,72,9,1’016,76,13,8,0.8,0.3,13,6.08889e+06
9.21237,9,6,14,805’235,258’809,229’888,86’422.2,57’614.8,28’807.4,28’807.4,57’500.5,28’807.4,0,0,0,0,0,0,0,0.164056,0.420477,3.33564,2.766,3.208,5,-5.55913,56.211,14,15,0,66,10,1’020,20,14,8,0.4,0.1,13,940’713
9.21774,9,6,18,937’203,381’664,294’430,151’790,47’886.8,57’547.6,19’221.2,9’705.39,0,0,0,0,0,0,0,0,0.21372,0.601776,0.986236,2.93214,2.79571,14,-5.55912,56.2111,12,12,0,81,10,1’020,11,12,9,0.3,0.1,13,1.17597e+06
