Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC
7.954301075268817,7,29,14,8.789333090600694,4.060675319932653,6.8067647784434655,5.086678066269199,2.208349308607192,2.371622336256995,1.0419066454843156,0.568375552201683,0.2732880692762928,0.1589487953509101,0.06287351292761997,0.02902367984838603,0.03575839520720491,0.040450353382099825,0.0,0.0016618753073397072,0.4367414821124362,2.1442385008517877,10.406408432708686,3.010256410256411,3.04974358974359,78,-4.930923,55.413670,14,14,0.0,63,10,1018,83,14,7,0.5,0.4,14
7.955645161290323,7,29,15,8.027656659097735,3.5383668390205973,5.81566255109175,5.233787866834865,2.3590186967937825,2.151001494232033,1.0673065572251867,0.5750538386571188,0.3918085835514472,0.16082390309156427,0.06104998153514058,0.029777099560570935,0.05247316906910397,0.0,0.0,0.0,0.37949441726257666,2.034698281269603,10.914107389286157,3.026962025316456,2.9981012658227835,79,-4.839300,55.489810,14,13,0.0,63,10,1018,100,14,7,0.5,0.4,14
7.956989247311828,7,29,16,5.712498245578834,2.8523931701426672,4.263358757184521,3.146798451783296,1.9668166982001951,1.641563304102197,0.5794664922284064,0.43729151120315035,0.21121756957526347,0.11279945780357241,0.06376832788795872,0.0160310066084248,0.0,0.0,0.0,0.0,0.2827869061808274,1.493158947726885,7.491119530052781,3.011794871794873,2.989743589743591,78,-4.717793,55.549380,14,12,0.0,66,10,1018,97,14,7,0.5,0.4,14
7.958333333333333,7,29,17,5.618928623050652,2.831151292464609,4.400118063317933,3.9265340704202574,2.0499269393787123,2.391964439970398,0.6363527266284129,0.3495972390036466,0.3273722023328324,0.14145895094664082,0.11282278159505628,0.029847161999448653,0.037064517894226566,0.0,0.0,0.0019265859358043726,0.2863994622300647,1.8733703050163846,9.955791530123511,3.0129113924050643,2.9026582278481006,79,-4.677048,55.546220,13,11,0.0,69,10,1018,94,13,8,0.2,0.2,14
7.959677419354839,7,29,18,6.745858945118778,3.5297713811379845,4.432652957122652,4.001227987529129,1.8876302769616282,1.6031499175667525,0.750208718342504,0.5604411208289042,0.29427928480550847,0.20471172369045743,0.1770816278227073,0.06658028061867526,0.03462350161957019,0.04135855044804071,0.02479386489832036,0.0015233246826113264,0.31314428553866336,1.5757787976888082,13.483456542228414,3.0127160493827168,3.1407407407407404,81,-4.677045,55.546190,13,10,0.0,73,10,1018,91,13,8,0.2,0.2,14
7.961021505376344,7,29,19,10.967898940896553,4.215480859778119,5.751584289712475,4.275624355191197,2.305685940718351,2.4075754595090046,0.6961602276729224,0.468265616207995,0.3857556016014225,0.10102062330761107,0.07972902656011606,0.014821846787260071,0.035710201170359154,0.0,0.0,0.0,0.41598596938775495,2.0769247448979598,9.234117346938774,3.0153846153846158,3.021025641025641,78,-4.676995,55.546190,13,14,0.0,77,10,1018,94,13,9,0.2,0.2,14
7.96236559139785,7,29,20,5.238280334233607,2.7781052674135123,4.1272935823184955,3.0021270868084304,1.4178073505562272,1.5053371625652399,0.5992435362487083,0.3166922662038973,0.24323455701000785,0.06296409793791653,0.061799230436771053,0.013573113769715645,0.0,0.0,0.0,0.0017222568975710062,0.2720241423125795,1.337022871664548,6.480695044472679,3.0269230769230777,3.0007692307692295,78,-4.677047,55.546200,13,17,0.0,80,10,1018,97,13,9,0.5,0.2,14
7.963709677419355,7,29,21,5.760107169316647,2.442133825742315,3.7247593041603997,2.5615395661262084,1.7552549651881,1.2665439268591434,0.5939923519286361,0.2993123170548631,0.1251850683838791,0.09403061109111348,0.07043443151046952,0.046612270688914874,0.0,0.0,0.0,0.0,0.2518329983395962,1.2324997815258225,7.503012321943544,3.0514666666666677,2.932666666666666,75,-4.677038,55.546220,13,21,0.0,84,10,1018,100,13,10,0.5,0.2,14
8.01478494623656,7,31,11,7.248175324077541,1.8233056505793164,2.2368871799310712,1.3862266608601161,0.5940078802638594,0.4771856747675937,0.3869051201360733,0.16835559871121397,0.08502117338510574,0.055798500361742304,0.047176807770524014,0.0,0.0,0.0,0.0,0.002769513782791959,0.1891623684753456,0.5867010521972352,3.451089333608418,2.967551020408164,3.3051020408163274,49,-4.931298,55.538340,18,8,0.0,76,10,1007,23,18,14,0.9,0.6,14
8.016129032258064,7,31,12,10.389793017619931,2.5465668682335467,3.6992020081523243,2.781829732027113,1.6588086534193638,1.7507344222765202,0.7092109769582391,0.449613096053987,0.35602435933041715,0.1738524177179458,0.07605644912773005,0.03946132003082613,0.03160790153296957,0.0,0.0,0.0,0.289437193412754,1.4654997372109315,10.124595304835314,3.0042105263157906,3.3297368421052633,76,-5.087389,55.540960,19,9,0.0,73,10,1006,18,19,14,1.1,0.6,14
