Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1597059046,2020,8,10,11,30,46,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3.00,3.54,0.12,0.50,0.50,
1,1597059049,2020,8,10,11,30,49,4,6,5,1,1,1,2,0,0,0,0,0,0,0,0,0,3.03,3.33,0.29,0.86,2.58,
1,1597059053,2020,8,10,11,30,53,10,1,6,3,2,3,0,0,0,0,0,0,0,0,0,0,3.03,3.15,0.30,1.93,1.93,
1,1597059056,2020,8,10,11,30,56,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3.03,3.09,0.19,0.78,0.78,
1,1597059059,2020,8,10,11,30,59,7,2,1,4,1,1,2,0,0,0,0,0,0,0,0,0,3.03,3.12,0.11,0.97,2.80,
1,1597059062,2020,8,10,11,31,2,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.21,0.17,0.50,0.50,
1,1597059065,2020,8,10,11,31,5,11,4,3,2,0,4,0,0,0,0,0,0,0,0,0,0,3.03,3.27,0.23,1.73,1.73,
1,1597059068,2020,8,10,11,31,8,13,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.28,0.16,0.40,0.40,
1,1597059071,2020,8,10,11,31,11,5,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,3.03,3.28,0.14,0.46,20.56,
1,1597059074,2020,8,10,11,31,14,10,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3.03,3.32,0.10,0.34,2.57,
1,1597059077,2020,8,10,11,31,17,2,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,3.03,3.33,0.15,0.31,2.03,
1,1597059080,2020,8,10,11,31,20,7,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.35,0.23,0.46,0.46,
1,1597059083,2020,8,10,11,31,23,5,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.35,0.13,0.76,0.76,
1,1597059086,2020,8,10,11,31,26,4,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3.03,3.36,0.18,0.57,0.57,
1,1597059089,2020,8,10,11,31,29,3,4,3,4,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.41,0.18,0.81,2.98,
1,1597059092,2020,8,10,11,31,32,5,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.46,0.15,0.76,0.76,
1,1597059095,2020,8,10,11,31,35,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.46,0.07,0.61,0.61,
1,1597059098,2020,8,10,11,31,38,7,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,3.03,3.49,0.22,0.67,0.67,
1,1597059101,2020,8,10,11,31,41,5,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,3.03,3.48,0.12,0.81,0.81,
1,1597059104,2020,8,10,11,31,44,9,3,6,3,0,3,1,1,0,0,0,0,0,0,0,0,3.03,3.52,0.29,1.45,4.36,
1,1597059107,2020,8,10,11,31,47,9,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.48,0.19,0.42,0.42,
1,1597059110,2020,8,10,11,31,50,10,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,3.03,3.50,0.21,0.60,1.41,
1,1597059113,2020,8,10,11,31,53,10,4,8,2,0,1,0,0,1,0,0,0,0,0,0,0,3.03,3.52,0.38,0.84,5.32,
1,1597059116,2020,8,10,11,31,56,6,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,3.03,3.50,0.20,0.73,2.85,
