Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594924270,2020,7,16,18,31,10,153,60,27,30,10,12,3,2,1,0,0,0,0,0,0,0,3.00,3.27,2.73,10.83,22.91,
1,1594924273,2020,7,16,18,31,13,183,68,47,37,8,19,6,5,1,0,0,0,0,0,0,0,3.03,3.27,3.72,14.34,35.73,
1,1594924276,2020,7,16,18,31,16,167,60,37,45,14,7,6,0,0,1,0,0,0,0,0,0,3.03,3.27,3.15,11.36,26.66,
1,1594924279,2020,7,16,18,31,19,117,41,29,24,9,10,2,1,1,0,0,0,0,0,0,0,3.03,3.27,2.30,9.03,17.86,
1,1594924282,2020,7,16,18,31,22,191,62,52,53,16,17,6,4,1,1,0,0,0,0,0,0,3.03,3.33,3.78,16.05,44.62,
1,1594924285,2020,7,16,18,31,25,247,86,79,67,17,28,12,4,1,1,1,0,0,0,0,0,3.03,3.37,5.36,22.34,75.32,
1,1594924288,2020,7,16,18,31,28,162,57,49,46,14,14,5,4,0,0,0,0,0,0,0,0,3.03,3.45,3.34,13.42,26.15,
1,1594924291,2020,7,16,18,31,31,162,58,43,32,10,12,7,0,2,0,0,0,0,0,0,0,3.03,3.49,3.10,10.77,25.51,
1,1594924294,2020,7,16,18,31,34,180,53,58,36,17,17,1,6,4,2,0,0,0,0,0,0,3.03,3.52,3.62,14.14,64.16,
1,1594924297,2020,7,16,18,31,37,148,55,45,28,8,7,3,0,0,0,1,0,0,0,0,0,3.03,3.46,3.09,8.64,30.11,
1,1594924301,2020,7,16,18,31,41,176,57,51,47,12,12,7,2,0,0,0,0,0,0,0,0,3.03,3.50,3.43,12.51,22.47,
1,1594924304,2020,7,16,18,31,44,188,70,62,47,15,10,8,3,1,0,0,0,0,0,0,0,3.03,3.45,4.11,13.15,30.80,
1,1594924307,2020,7,16,18,31,47,213,73,67,37,8,10,1,3,0,0,0,0,0,0,0,0,3.03,3.42,4.49,11.75,19.07,
1,1594924310,2020,7,16,18,31,50,200,79,41,53,14,12,8,2,0,3,1,0,0,0,0,0,3.03,3.48,3.53,13.41,71.43,
1,1594924313,2020,7,16,18,31,53,183,76,62,38,8,15,3,5,0,1,0,0,0,0,0,0,3.03,3.44,4.18,13.06,35.83,
1,1594924316,2020,7,16,18,31,56,200,77,63,45,14,11,5,5,0,0,0,0,0,0,0,0,3.03,3.49,4.26,13.20,27.91,
1,1594924319,2020,7,16,18,31,59,208,78,62,36,17,12,2,2,2,0,0,1,0,0,0,0,3.03,3.44,4.33,13.48,65.13,
1,1594924322,2020,7,16,18,32,2,280,100,80,73,15,21,5,4,2,0,0,0,0,0,0,0,3.03,3.57,5.44,19.47,40.62,
1,1594924325,2020,7,16,18,32,5,199,71,60,47,17,8,6,3,1,1,1,0,0,0,0,0,3.03,3.63,3.91,12.18,54.55,
1,1594924328,2020,7,16,18,32,8,205,84,73,48,23,16,4,1,1,0,0,0,0,0,0,0,3.03,3.66,4.50,16.01,25.45,
1,1594924331,2020,7,16,18,32,11,179,72,64,38,12,17,0,1,0,0,0,0,0,0,0,0,3.03,3.60,3.99,13.68,15.74,
1,1594924334,2020,7,16,18,32,14,195,66,47,43,10,20,6,1,2,1,0,1,0,0,0,0,3.03,3.65,3.37,13.90,72.78,
1,1594924337,2020,7,16,18,32,17,199,90,62,56,22,17,3,1,1,3,0,0,0,0,0,0,3.03,3.59,4.27,16.76,52.99,
1,1594924340,2020,7,16,18,32,20,228,87,56,33,20,12,6,3,1,1,0,0,0,0,0,0,3.03,3.57,4.20,13.25,37.91,
1,1594924343,2020,7,16,18,32,23,242,69,73,53,12,20,3,3,0,1,0,0,0,0,0,0,3.03,3.63,4.51,16.09,33.59,
1,1594924346,2020,7,16,18,32,26,234,107,75,64,23,19,7,1,1,1,0,0,0,0,0,0,3.03,3.66,5.02,18.58,39.34,
1,1594924349,2020,7,16,18,32,29,232,64,61,52,11,17,8,4,1,0,0,0,0,0,0,0,3.03,3.68,3.94,14.28,32.83,
1,1594924352,2020,7,16,18,32,32,223,93,90,58,21,13,7,1,0,1,0,0,0,0,0,0,3.03,3.61,5.35,16.58,33.28,
1,1594924355,2020,7,16,18,32,35,262,85,63,61,23,12,6,3,1,2,0,0,0,0,0,0,3.03,3.65,4.46,15.75,48.82,
1,1594924358,2020,7,16,18,32,38,243,106,68,46,22,13,9,2,0,1,0,0,1,0,0,0,3.03,3.67,4.79,15.09,35.06,
