Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1597316542,2020,8,13,11,2,22,39,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,3.00,2.83,0.40,1.07,1.07,
1,1597316545,2020,8,13,11,2,25,39,2,0,1,0,3,2,0,1,0,0,0,0,0,0,0,3.03,2.93,0.26,1.47,8.79,
1,1597316548,2020,8,13,11,2,28,39,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.03,2.99,0.32,0.67,0.67,
1,1597316551,2020,8,13,11,2,31,30,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,3.03,2.93,0.44,0.98,0.98,
1,1597316554,2020,8,13,11,2,34,43,3,3,1,1,3,1,0,0,0,0,0,0,0,0,0,3.03,2.95,0.42,1.80,2.77,
1,1597316557,2020,8,13,11,2,37,42,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,3.03,2.92,0.36,0.91,6.31,
1,1597316560,2020,8,13,11,2,40,36,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.03,2.85,0.36,1.02,1.02,
1,1597316563,2020,8,13,11,2,43,47,4,5,1,2,2,1,0,0,0,0,0,0,0,0,0,3.03,2.91,0.55,1.75,2.73,
1,1597316567,2020,8,13,11,2,47,42,5,2,3,0,2,1,0,0,0,0,1,0,0,0,0,3.03,2.90,0.41,1.44,45.80,
1,1597316570,2020,8,13,11,2,50,41,3,5,8,0,0,0,0,1,0,0,0,0,0,0,0,3.03,2.94,0.49,1.21,6.56,
1,1597316573,2020,8,13,11,2,53,50,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,3.03,2.99,0.42,1.23,1.23,
1,1597316576,2020,8,13,11,2,56,31,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3.03,3.05,0.30,1.19,1.19,
1,1597316579,2020,8,13,11,2,59,49,6,3,1,1,0,2,0,0,0,0,0,0,0,0,0,3.03,3.06,0.49,0.74,2.62,
1,1597318262,2020,8,13,11,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,4.25,0.00,0.00,0.00,
1,1597318265,2020,8,13,11,31,5,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,2.58,0.23,0.33,0.33,
1,1597318274,2020,8,13,11,31,14,33,3,1,1,4,1,3,0,0,0,0,0,0,0,0,0,3.00,2.54,0.33,1.70,5.11,
1,1597320060,2020,8,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,4.25,0.00,0.00,0.00,
1,1597320063,2020,8,13,12,1,3,86,8,6,2,2,0,2,0,0,0,0,0,0,0,0,0,3.03,2.93,0.88,1.42,3.37,
1,1597320066,2020,8,13,12,1,6,85,15,3,4,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.07,0.83,1.34,2.27,
1,1597320069,2020,8,13,12,1,9,71,11,9,4,0,5,2,1,0,1,0,0,0,0,0,0,3.03,3.09,0.92,3.02,17.88,
1,1597320072,2020,8,13,12,1,12,89,9,10,3,0,0,2,1,0,0,0,0,0,0,0,0,3.03,3.08,1.03,1.28,5.54,
1,1597320075,2020,8,13,12,1,15,74,7,4,4,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.12,0.66,1.17,2.09,
1,1597320078,2020,8,13,12,1,18,80,5,4,5,3,3,2,0,2,0,0,0,0,0,0,0,3.03,3.11,0.67,2.65,14.60,
1,1597320081,2020,8,13,12,1,21,92,16,3,4,4,2,3,0,1,0,0,0,0,0,0,0,3.03,3.10,0.87,2.60,10.46,
1,1597320084,2020,8,13,12,1,24,99,12,4,4,1,1,1,0,1,1,0,0,0,0,0,0,3.03,3.16,0.87,1.71,17.98,
1,1597320087,2020,8,13,12,1,27,106,9,4,5,0,1,3,2,0,0,0,0,0,0,0,0,3.03,3.18,0.86,1.61,8.98,
1,1597320090,2020,8,13,12,1,30,104,9,6,3,0,2,0,0,1,0,0,0,0,0,0,0,3.03,3.22,0.91,1.83,6.72,
1,1597320093,2020,8,13,12,1,33,95,19,10,5,1,1,2,0,0,0,0,0,0,0,0,0,3.03,3.23,1.16,2.07,3.84,
1,1597320096,2020,8,13,12,1,36,97,12,8,3,1,2,1,1,0,1,0,0,0,0,0,0,3.03,3.22,0.99,2.08,15.48,
1,1597320099,2020,8,13,12,1,39,96,11,3,2,3,3,4,0,0,0,0,0,0,0,0,0,3.03,3.21,0.79,2.47,6.04,
1,1597320102,2020,8,13,12,1,42,97,12,7,3,1,3,1,0,0,0,0,0,0,0,0,0,3.03,3.24,0.95,2.37,3.26,
1,1597320105,2020,8,13,12,1,45,93,13,9,3,3,2,1,0,0,0,0,0,0,0,0,0,3.03,3.31,1.00,2.37,3.24,
1,1597320108,2020,8,13,12,1,48,70,8,8,3,2,1,3,0,0,0,0,0,0,0,0,0,3.03,3.32,0.77,1.65,4.23,
1,1597320111,2020,8,13,12,1,51,95,13,5,3,1,2,0,0,0,0,0,0,0,0,0,0,3.03,3.33,0.86,1.91,1.91,
1,1597320115,2020,8,13,12,1,55,105,14,7,5,0,1,2,0,0,0,0,0,0,0,0,0,3.03,3.32,1.00,1.72,3.45,
1,1597320118,2020,8,13,12,1,58,102,13,8,4,2,0,1,0,0,0,0,0,0,0,0,0,3.03,3.34,1.00,1.63,2.49,
1,1597320121,2020,8,13,12,2,1,102,11,8,2,1,0,0,0,1,0,0,0,0,0,0,0,3.03,3.39,0.96,1.27,5.91,
1,1597320124,2020,8,13,12,2,4,87,13,4,3,0,3,0,1,0,1,0,0,0,0,0,0,3.03,3.37,0.77,1.98,13.93,
1,1597320127,2020,8,13,12,2,7,97,14,3,1,0,0,2,1,0,1,0,0,0,0,0,0,3.03,3.40,0.79,0.87,14.40,
