Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1596983435,2020,8,9,14,30,35,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3.00,3.15,0.12,0.45,0.45,
1,1596983438,2020,8,9,14,30,38,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.00,0.10,0.19,0.19,
1,1596983441,2020,8,9,14,30,41,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.44,0.11,0.58,0.58,
1,1596983444,2020,8,9,14,30,44,3,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3.03,3.28,0.08,0.16,9.75,
1,1596983447,2020,8,9,14,30,47,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.28,0.06,0.55,0.55,
1,1596983450,2020,8,9,14,30,50,6,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3.03,3.28,0.07,1.07,1.94,
1,1596983453,2020,8,9,14,30,53,7,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.17,0.19,0.61,0.61,
1,1596983456,2020,8,9,14,30,56,6,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3.03,3.19,0.10,0.44,6.27,
1,1596983460,2020,8,9,14,31,0,3,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,3.03,3.19,0.09,0.94,1.84,
1,1596983463,2020,8,9,14,31,3,4,1,1,3,2,1,0,0,0,1,0,0,0,0,0,0,3.03,3.20,0.07,0.99,11.24,
1,1596983466,2020,8,9,14,31,6,7,4,1,4,0,1,0,0,1,0,0,0,0,0,0,0,3.03,3.24,0.14,0.80,5.65,
1,1596983469,2020,8,9,14,31,9,4,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.28,0.18,0.59,2.85,
1,1596983472,2020,8,9,14,31,12,4,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.27,0.33,0.74,0.74,
1,1596983475,2020,8,9,14,31,15,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.03,3.30,0.04,0.04,40.42,
1,1596983478,2020,8,9,14,31,18,6,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.31,0.10,0.18,1.04,
1,1596983481,2020,8,9,14,31,21,4,4,3,2,0,0,1,1,0,0,0,0,1,0,0,0,3.03,3.33,0.19,0.35,3.43,
1,1596983484,2020,8,9,14,31,24,5,3,2,1,0,1,2,2,0,0,0,0,0,0,0,0,3.03,3.32,0.14,0.55,6.74,
1,1596983487,2020,8,9,14,31,27,6,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,3.03,3.32,0.10,0.74,0.74,
1,1596983490,2020,8,9,14,31,30,8,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.03,3.33,0.09,0.17,0.17,
1,1596983493,2020,8,9,14,31,33,6,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.34,0.19,0.43,0.43,
1,1596983496,2020,8,9,14,31,36,2,5,1,1,2,0,0,0,0,1,0,0,0,0,0,0,3.03,3.35,0.12,0.51,10.32,
1,1596983499,2020,8,9,14,31,39,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.38,0.13,0.28,0.28,
1,1596983502,2020,8,9,14,31,42,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.06,0.38,0.38,
1,1596983505,2020,8,9,14,31,45,4,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.37,0.16,0.31,1.16,
1,1596983508,2020,8,9,14,31,48,4,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,3.03,3.40,0.27,0.58,2.76,
1,1596983511,2020,8,9,14,31,51,5,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,3.03,3.40,0.27,0.66,0.66,
