Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594593045,2020,7,12,22,30,45,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,3.40,0.10,0.10,0.10,
1,1594593048,2020,7,12,22,30,48,11,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3.03,3.40,0.09,0.32,2.50,
1,1594593051,2020,7,12,22,30,51,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.40,0.03,0.03,0.88,
1,1594593054,2020,7,12,22,30,54,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.59,0.05,0.27,0.27,
1,1594593057,2020,7,12,22,30,57,9,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,3.03,3.65,0.13,0.86,1.64,
1,1594593060,2020,7,12,22,31,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.66,0.05,0.05,0.05,
1,1594593063,2020,7,12,22,31,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.66,0.09,0.09,0.09,
1,1594593066,2020,7,12,22,31,6,11,3,1,0,2,0,2,1,0,0,0,0,0,0,0,0,3.03,3.71,0.12,0.41,3.95,
1,1594593069,2020,7,12,22,31,9,15,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.63,0.12,0.34,0.34,
1,1594593072,2020,7,12,22,31,12,10,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.69,0.07,0.22,0.99,
1,1594593075,2020,7,12,22,31,15,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.70,0.06,0.35,2.35,
1,1594593078,2020,7,12,22,31,18,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.72,0.10,0.25,0.25,
1,1594593081,2020,7,12,22,31,21,10,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.72,0.14,0.50,0.50,
1,1594593084,2020,7,12,22,31,24,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.76,0.19,0.19,0.19,
1,1594593087,2020,7,12,22,31,27,9,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.77,0.08,0.29,0.29,
1,1594593090,2020,7,12,22,31,30,20,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.80,0.15,0.35,1.11,
1,1594593093,2020,7,12,22,31,33,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.84,0.13,0.20,0.20,
1,1594593096,2020,7,12,22,31,36,8,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.85,0.14,0.28,1.02,
1,1594593099,2020,7,12,22,31,39,11,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.87,0.09,0.44,2.36,
1,1594593102,2020,7,12,22,31,42,7,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,3.03,3.85,0.04,0.46,17.58,
1,1594593105,2020,7,12,22,31,45,12,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,3.03,3.89,0.18,0.25,2.16,
1,1594593108,2020,7,12,22,31,48,13,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.03,3.90,0.10,0.17,4.93,
1,1594593112,2020,7,12,22,31,52,9,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.89,0.13,0.13,0.86,
1,1594593115,2020,7,12,22,31,55,8,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,3.03,3.92,0.07,0.34,5.09,
