Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1596195036,2020,7,31,11,30,36,13,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,3.00,3.70,0.21,0.42,1.20,
1,1596195039,2020,7,31,11,30,39,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.54,0.11,0.18,0.18,
1,1596195043,2020,7,31,11,30,43,8,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3.03,3.40,0.16,0.16,2.34,
1,1596195046,2020,7,31,11,30,46,10,3,3,1,0,0,2,0,1,1,1,0,0,0,0,0,3.03,3.09,0.22,0.31,39.18,
1,1596195049,2020,7,31,11,30,49,8,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,3.03,3.13,0.21,1.51,1.51,
1,1596195052,2020,7,31,11,30,52,14,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,3.03,3.04,0.20,0.63,1.57,
1,1596195055,2020,7,31,11,30,55,8,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,3.03,3.03,0.16,0.78,1.73,
1,1596195058,2020,7,31,11,30,58,10,4,3,4,1,0,1,1,0,0,0,0,0,0,0,0,3.03,3.13,0.23,0.74,4.02,
1,1596195061,2020,7,31,11,31,1,6,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.11,0.14,0.40,10.96,
1,1596195064,2020,7,31,11,31,4,12,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,3.03,3.07,0.19,0.99,1.92,
1,1596195067,2020,7,31,11,31,7,14,3,1,0,1,2,0,1,0,0,0,0,0,0,0,0,3.03,3.09,0.16,1.04,3.44,
1,1596195070,2020,7,31,11,31,10,8,2,5,2,0,0,1,0,0,0,0,0,0,0,0,1,3.03,3.12,0.27,0.44,1.36,
1,1596195073,2020,7,31,11,31,13,10,4,4,3,2,0,1,0,0,0,0,0,0,0,0,0,3.03,3.15,0.27,0.86,1.76,
1,1596195076,2020,7,31,11,31,16,9,3,3,0,1,3,0,1,0,0,0,0,0,0,0,0,3.03,3.18,0.21,1.41,3.73,
1,1596195079,2020,7,31,11,31,19,12,5,4,5,1,1,0,1,0,0,0,0,0,0,0,0,3.03,3.21,0.29,1.21,3.52,
1,1596195082,2020,7,31,11,31,22,7,4,0,1,2,0,1,1,0,0,0,0,0,0,0,0,3.03,3.26,0.10,0.50,3.65,
1,1596195085,2020,7,31,11,31,25,10,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,3.03,3.28,0.21,0.70,1.57,
1,1596195088,2020,7,31,11,31,28,11,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0,3.03,3.29,0.18,0.18,7.31,
1,1596195091,2020,7,31,11,31,31,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.33,0.14,0.22,0.22,
1,1596195094,2020,7,31,11,31,34,7,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,3.03,3.36,0.10,0.41,5.10,
1,1596195097,2020,7,31,11,31,37,11,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.36,0.12,0.28,1.13,
1,1596195100,2020,7,31,11,31,40,11,3,0,3,1,1,1,0,1,0,0,0,0,0,0,0,3.03,3.37,0.10,0.81,6.32,
1,1596195103,2020,7,31,11,31,43,13,6,1,3,0,1,2,0,0,0,0,0,0,0,0,0,3.03,3.39,0.19,0.74,2.43,
1,1596195106,2020,7,31,11,31,46,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.22,0.22,0.22,
1,1596195109,2020,7,31,11,31,49,10,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.25,0.40,0.40,
1,1596195113,2020,7,31,11,31,53,11,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.38,0.21,0.21,1.06,
1,1596195116,2020,7,31,11,31,56,10,3,4,0,1,1,1,1,0,0,1,0,0,0,0,0,3.03,3.39,0.24,0.71,23.11,
1,1596195119,2020,7,31,11,31,59,10,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.41,0.25,0.56,0.56,
1,1596195122,2020,7,31,11,32,2,10,4,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3.03,3.41,0.14,1.26,1.26,
1,1596195125,2020,7,31,11,32,5,19,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.43,0.28,0.67,0.67,
1,1596195128,2020,7,31,11,32,8,17,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,3.03,3.47,0.24,1.09,1.91,
1,1596195131,2020,7,31,11,32,11,18,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.46,0.31,0.38,1.21,
1,1596195134,2020,7,31,11,32,14,10,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.48,0.15,0.30,1.12,
1,1596195137,2020,7,31,11,32,17,10,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.48,0.12,0.42,0.42,
1,1596195140,2020,7,31,11,32,20,19,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.50,0.17,0.56,2.67,
1,1596195143,2020,7,31,11,32,23,8,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.53,0.13,0.28,1.09,
1,1596195146,2020,7,31,11,32,26,13,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.52,0.15,0.61,0.61,
