Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594069953,2020,7,6,21,12,33,25,10,14,10,4,4,2,0,0,0,0,0,0,0,0,0,3.05,3.70,0.71,3.15,4.70,
1,1594069956,2020,7,6,21,12,36,18,8,10,11,6,2,2,0,0,0,0,0,0,0,0,0,3.06,3.77,0.50,2.67,4.17,
1,1594069960,2020,7,6,21,12,40,10,12,20,15,11,4,1,0,0,0,0,0,1,0,0,0,3.06,3.74,0.85,4.59,5.34,
1,1594069963,2020,7,6,21,12,43,18,16,14,12,3,5,0,4,0,0,0,0,0,0,0,0,3.06,3.72,0.74,3.46,11.33,
1,1594069966,2020,7,6,21,12,46,16,14,21,11,5,7,3,2,0,0,0,0,0,0,0,0,3.06,3.76,0.93,4.40,10.56,
1,1594069969,2020,7,6,21,12,49,16,16,13,12,6,4,4,1,1,1,0,0,0,0,0,0,3.06,3.74,0.70,3.53,21.36,
1,1594069972,2020,7,6,21,12,52,18,20,9,7,8,7,5,1,0,0,1,0,0,0,0,0,3.06,3.81,0.62,4.18,26.90,
1,1594069975,2020,7,6,21,12,55,19,12,19,22,6,5,2,5,0,0,0,0,0,0,0,0,3.06,3.79,0.84,4.60,15.77,
1,1594069978,2020,7,6,21,12,58,25,11,15,18,6,5,2,1,0,0,0,0,0,0,0,0,3.06,3.86,0.72,4.14,7.51,
1,1594069981,2020,7,6,21,13,1,19,17,16,11,7,8,3,1,0,0,0,0,0,0,0,0,3.06,3.86,0.80,4.72,8.82,
1,1594069984,2020,7,6,21,13,4,11,13,13,15,5,4,3,1,1,0,0,0,0,0,0,0,3.06,3.83,0.62,3.46,11.67,
1,1594069987,2020,7,6,21,13,7,16,16,16,13,2,7,3,0,0,0,0,0,0,1,0,0,3.06,3.95,0.76,3.80,5.95,
1,1594069990,2020,7,6,21,13,10,21,13,6,16,3,5,1,0,0,0,0,0,0,0,0,0,3.06,3.97,0.43,3.24,3.96,
1,1594069993,2020,7,6,21,13,13,16,16,9,17,2,5,3,2,1,0,0,1,0,0,0,0,3.06,3.94,0.54,3.30,44.76,
1,1594069996,2020,7,6,21,13,16,17,7,17,10,2,8,3,1,0,1,0,0,0,0,0,0,3.06,3.94,0.68,3.81,16.09,
1,1594070000,2020,7,6,21,13,20,16,16,9,8,5,7,4,2,1,0,0,0,0,0,0,0,3.06,3.96,0.54,3.63,14.13,
1,1594070003,2020,7,6,21,13,23,14,14,8,9,12,2,2,0,0,1,0,0,0,0,0,1,3.06,3.87,0.49,3.27,13.13,
1,1594070006,2020,7,6,21,13,26,23,24,13,16,6,6,2,2,1,0,0,0,0,0,0,0,3.06,3.92,0.80,4.31,13.48,
1,1594070009,2020,7,6,21,13,29,21,12,11,14,3,7,3,0,1,0,0,0,0,0,0,0,3.06,3.91,0.58,3.85,10.01,
