Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc(0.38-100um)[n/ml]
8.493279569892474,8,15,7,21502308.289595865,5079436.818134441,2355542.395421748,649340.6048548899,71797.53734491389,51048.74297997998,83179.80539414485,14408.596541988147,21903.08468428256,31426.375861235214,17196.333088570318,46400.03464804141,48602.4939848458,19420.358506094955,19141.469552255356,117566.954220946,2728182.3529411755,3529633.333333332,29869123.529411763,3.0000000000000004,2.787450980392157,51,-7.297670,57.149190,14,10,0.0,80,10,1018,6,14,11,0.8,0.8,15,11354593.958159555
8.49462365591398,8,15,8,8813046.925884472,1033033.7526686464,356413.1057108569,95130.1768571839,28852.413211985353,35841.114474122216,35877.82468230384,1999.8700084494503,6072.904225035283,1999.8700084494503,2270.768734693599,1,1,1,1,1,735746.3664861781,976221.715588486,2273669.9914505556,3.025000000000001,2.776896551724138,58,-7.297677,57.149170,14,10,0.0,79,10,1018,7,14,11,0.8,0.8,15,2333238.1670679045
8.495967741935484,8,15,9,2458434.597428185,265040.5320106879,102937.02427779036,53500.57247804393,31486.184082131724,37112.87157674682,7866.756961873549,3133.9827649097588,1592.9380595593163,1,1,1,1,1,1,1,203756.91892646163,418924.13600632595,633288.9901855899,3.0280281690140853,2.8815492957746485,71,-7.297655,57.149210,15,10,0.0,79,10,1018,7,15,11,0.8,0.8,15,706427.781138205
8.49731182795699,8,15,10,2307188.254318956,273921.7153925782,145230.05848189525,82301.45589388571,31466.43528783526,26170.538238504443,9224.06524856306,6585.122381787432,1,1,1478.1074548645106,1,1,1,1,1,212436.67787663362,414039.8450470392,936947.3415350559,3.011666666666667,3.236794871794872,78,-7.208647,57.182320,15,10,0.0,79,10,1018,8,15,11,0.8,0.8,15,788814.1762565474
8.498655913978496,8,15,11,2954797.390667964,303074.0325012996,143708.77542371541,47804.8439252328,24342.970918211136,21524.776281529983,6219.588594095073,4918.1222904182505,1,1,1390.7335424069422,1,1,1,1,1,249090.7523173097,397614.57210605714,839149.3856434576,3.012337662337663,2.8236363636363646,77,-7.136232,57.251820,15,10,0.0,79,10,1018,8,15,11,0.8,0.8,15,802074.5957942188
8.5,8,15,12,2621410.8580816356,266211.6489625114,97806.47335985229,50488.97362701786,13524.251328556553,40788.54046948382,75870.9173806691,88076.30815044731,83875.38419398638,122807.32669027532,97416.74543564714,122189.28680630233,92422.80235425288,59485.032433426284,36702.43455938717,82414.16226682882,209803.6732108929,406302.7232425584,85323316.02279921,2.9981012658227857,3.1325316455696206,79,-7.207235,57.331810,15,9,0.0,80,10,1018,9,15,11,0.8,0.8,15,1539883.9612295374
8.501344086021506,8,15,13,4620868.139441093,469290.6832666308,185361.46130845635,46733.44834122929,13680.69384503851,33302.2561950127,13620.094979044432,3309.764595749341,5247.672470775892,3373.0840523743777,1818.9411434300569,8516.76590840904,6990.713490883896,8826.32509398883,3437.8329981847437,3630.9397634119073,374424.6107102164,544150.2088872006,4936353.01936954,3.0091428571428582,2.854285714285716,70,-7.248515,57.325490,15,9,0.0,80,10,1018,11,15,12,0.8,0.8,15,1181565.2881628366
8.502688172043012,8,15,14,1535128.38721781,90193.20420125074,33002.26383336036,32754.041593968755,1,10907.897511560455,31815.1859751793,28383.49435462945,10850.85260169435,70819.75554329109,42432.141525388,39221.64895708372,18061.282883417265,10612.32363719162,7167.756085505001,14113.701932503915,103405.48340548338,165950.93795093786,32067959.595959585,2.970000000000001,2.7968571428571436,35,-7.248515,57.325550,15,9,0.0,80,10,1018,13,15,12,1.2,0.8,15,543741.0340415074
8.504032258064516,8,15,15,2109169.356407366,222040.09160850965,77451.74757818064,38700.205162406084,13506.456532117169,5184.864656543947,2776.9321694399778,1356.8278017272958,1293.8172226997124,1293.8172226997124,3989.1187633120853,5241.675921749962,5299.468525308369,1343.7394306495405,6576.673055890516,12008.941419770556,169423.71181411677,238940.61598896736,3277551.0886372174,3.0289873417721527,3.1596202531645567,79,-7.248538,57.325540,15,9,0.0,81,10,1018,15,15,12,1.2,0.8,15,567488.088885122
8.505376344086022,8,15,16,976248.4514171138,73575.60926288468,23423.334248253537,9964.89918923183,4441.387844115681,17570.923322917155,80207.71692258092,59306.36717109777,104637.61275553604,147944.7324153427,96293.38611762355,93581.59236243287,109796.27977789102,58740.433311289475,54938.055800798116,69405.35819427505,69867.66983845983,143086.52356716082,76764544.36822301,3.0126666666666675,2.978266666666669,75,-7.248473,57.325470,16,12,0.0,80,10,1018,16,16,12,1.2,0.8,15,1073695.3585347303
