Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594684882,2020,7,14,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,4.25,0.00,0.00,0.00,
1,1594684885,2020,7,14,0,1,25,27,3,3,2,2,0,2,0,0,0,0,0,0,0,0,0,3.03,3.27,0.30,0.78,2.53,
1,1594684888,2020,7,14,0,1,28,28,8,3,2,2,1,0,0,0,0,0,0,0,0,0,0,3.03,3.27,0.38,1.19,1.19,
1,1594684891,2020,7,14,0,1,31,15,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,3.03,3.30,0.23,0.80,3.05,
1,1594684894,2020,7,14,0,1,34,21,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,3.03,3.35,0.24,0.56,21.06,
1,1594684897,2020,7,14,0,1,37,31,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.03,3.29,0.30,0.38,2.63,
1,1594684900,2020,7,14,0,1,40,18,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.28,0.18,0.42,1.29,
1,1594684903,2020,7,14,0,1,43,24,7,4,3,0,3,1,1,0,0,0,0,0,0,0,0,3.03,3.25,0.38,1.63,4.79,
1,1594684907,2020,7,14,0,1,47,22,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,3.03,3.26,0.20,1.19,1.19,
1,1594684910,2020,7,14,0,1,50,24,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3.03,3.29,0.21,0.21,1.95,
1,1594684913,2020,7,14,0,1,53,17,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3.03,3.32,0.19,0.35,2.58,
1,1594684916,2020,7,14,0,1,56,32,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,3.03,3.31,0.42,0.90,0.90,
1,1594684919,2020,7,14,0,1,59,17,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.33,0.24,0.65,0.65,
1,1594684922,2020,7,14,0,2,2,18,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.22,0.30,0.30,
1,1594684925,2020,7,14,0,2,5,27,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,3.03,3.38,0.40,0.64,1.48,
1,1594684928,2020,7,14,0,2,8,21,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.35,0.36,0.92,0.92,
1,1594684931,2020,7,14,0,2,11,30,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3.03,3.35,0.30,0.30,2.01,
1,1594684934,2020,7,14,0,2,14,29,6,2,2,0,1,2,0,0,0,0,0,0,0,0,0,3.03,3.38,0.30,0.78,2.48,
1,1594684937,2020,7,14,0,2,17,22,4,4,3,0,1,0,0,0,1,0,0,0,0,0,0,3.03,3.33,0.32,0.88,10.74,
1,1594684940,2020,7,14,0,2,20,21,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.36,0.16,0.40,0.40,
1,1594684943,2020,7,14,0,2,23,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.20,0.20,0.20,
1,1594684946,2020,7,14,0,2,26,16,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.40,0.14,0.54,0.54,
1,1594684949,2020,7,14,0,2,29,19,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.42,0.24,0.62,0.62,
1,1594684952,2020,7,14,0,2,32,15,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.39,0.14,0.53,0.53,
1,1594684955,2020,7,14,0,2,35,20,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3.03,3.39,0.23,0.23,2.77,
1,1594684958,2020,7,14,0,2,38,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.37,0.14,0.22,0.22,
1,1594684961,2020,7,14,0,2,41,24,4,3,4,0,2,1,0,0,0,0,0,0,0,0,0,3.03,3.37,0.29,1.25,2.10,
1,1594684964,2020,7,14,0,2,44,15,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.38,0.22,0.22,1.06,
1,1594684967,2020,7,14,0,2,47,14,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,3.03,3.39,0.24,0.39,19.84,
1,1594684970,2020,7,14,0,2,50,11,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.39,0.14,0.62,0.62,
1,1594684974,2020,7,14,0,2,54,16,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.43,0.17,0.40,0.40,
1,1594684977,2020,7,14,0,2,57,17,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.46,0.17,0.47,0.47,
1,1594686660,2020,7,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,4.25,0.00,0.00,0.00,
1,1594686663,2020,7,14,0,31,3,30,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.15,0.32,0.41,1.32,
1,1594686666,2020,7,14,0,31,6,28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.33,0.22,0.22,0.22,
1,1594686669,2020,7,14,0,31,9,23,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.31,0.32,0.97,0.97,
1,1594686672,2020,7,14,0,31,12,34,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.26,0.27,0.69,0.69,
1,1594686675,2020,7,14,0,31,15,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.28,0.29,0.29,0.29,
1,1594686678,2020,7,14,0,31,18,28,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,3.03,3.25,0.33,0.75,1.63,
1,1594686681,2020,7,14,0,31,21,19,8,4,0,0,1,0,1,0,0,0,0,0,0,0,0,3.03,3.32,0.36,0.69,2.92,
1,1594686685,2020,7,14,0,31,25,23,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.32,0.26,0.58,0.58,
1,1594686688,2020,7,14,0,31,28,21,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,3.03,3.33,0.27,1.00,1.00,
1,1594686691,2020,7,14,0,31,31,23,7,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3.03,3.34,0.26,0.57,2.79,
1,1594686694,2020,7,14,0,31,34,22,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.36,0.31,0.46,1.32,
