Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc(0.38-100um)[n/ml],DisttoCoast,r1,r2,S,Schwarz,Gong,Andreas,r1,r2,S,Schwarz,Gong,r1,r2,S,Schwarz,r1,r2,S,Gong,r1,r2,S,Andreas
7.416666666666666,7,12,22,897231.994286839,177671.11776782476,89276.76466740252,75978.25550035016,29324.522077738457,18956.97712169003,27050.185323531616,22920.69390116704,5628.424097197093,0.0,1905.3716236814823,0.0,0.0,1885.7791134122642,0.0,0.0,0.10466769366197187,0.275594190140845,1.6734573063380276,2.963478260869566,3.746521739130435,46,-6.104015,49.535010,17,6,0.0,78,10,1028,19,17,13,0.6,0.6,16,555265.7848559673,42.2066,2.8674381860104887,7,29184.241872924627,63.008746758004015,1.335398402620485,204.5567245341762,2.8674381860104887,19.11625457340326,36324.514996835445,69.97471328432512,1.3708655145811384,2.8674381860104887,23.895318216754074,36324.514996835445,70.23772443770417,0.38,19.11625457340326,1384154.6004776699,102.56481811731787,0.38,7,1344674.058618301,1291.2544291905529
7.418010752688172,7,12,23,987721.4463308898,237189.89263218592,154595.13554074056,105558.92318944572,36760.92526060464,46387.235785927536,58762.01132591008,24975.00999245273,16080.556632528747,7952.993670513397,0.0,2350.5937337553837,1104.8258794413998,1124.5047118996436,0.0,2257.2291982984657,0.14287652465971362,0.43960977549938113,3.965191797772669,3.057837837837839,3.8829729729729734,74,-6.133763,49.539250,16,11,0.0,74,10,1028,26,16,12,0.7,0.7,16,837976.3622134178,41.1184,2.741452635584001,7,49008.56029549488,268.30893194100247,9.783676276765657,353.8962942625438,2.741452635584001,18.27635090389334,70530.50216378462,294.21088349476844,10.006038363364326,2.741452635584001,22.845438629866678,70653.28166645908,295.31672216380616,0.38,18.27635090389334,1751278.5059447289,666.9660727741506,0.38,7,1675984.1303611991,2369.9381876116286
7.439516129032258,7,13,15,24393072.603373434,7866486.546435235,6244721.291913011,2542877.01519721,622607.6854319317,261603.22886068176,171002.18945033848,71207.30062607673,24843.801654782994,2571.0093499897025,2623.941895430667,2417.7242396922134,2520.170182052053,0.0,0.0,4951.07003067992,4.728806316352928,8.611719154251047,14.581021500579887,3.0294594594594604,3.577567567567567,37,-6.312680,49.919340,16,31,0.5,94,2,1024,100,16,15,1.0,1.1,16,22549239.291620035,0.469166,4.219230185342409,7,28289.458303249583,6159.240273487712,656.1345414482539,444.2704286436402,4.219230185342409,28.128201235616057,30244.98814798468,8504.259021054075,742.5260707726181,4.219230185342409,35.16025154452007,30659.46640439716,8536.223638967878,0.38,28.128201235616057,42239928.827081695,156032.73855269584,0.38,7,42201867.31959117,28509.628373212778
7.444892473118279,7,13,19,731533.4115313172,131566.05689629161,87686.08395307482,57490.80172177622,18616.40085295576,23310.187921437322,28354.186765032475,4797.745902219461,2367.9637357722663,2305.152130697728,0.0,1234.4264755840316,1206.9947761266085,0.0,1255.8327150450264,0.0,0.08912531502563667,0.24167376379595018,1.4090940297210393,2.9888311688311697,3.6832467532467534,77,-6.312625,49.919290,16,32,0.4,94,5,1023,94,16,15,0.9,1.2,16,449317.14887165,0.469166,4.219230185342409,7,4673.115866469994,6668.034797790724,731.1575204876066,478.8651721654194,4.219230185342409,28.128201235616057,7851.240704548205,9206.767809644758,827.4271304253972,4.219230185342409,35.16025154452007,7851.240704548205,9241.372919217249,0.38,28.128201235616057,1099576.4860818791,173873.653996735,0.38,7,1088027.991410575,32349.28497943725
7.446236559139785,7,13,20,678647.4125508537,91662.12099598208,51490.28883963166,20043.173208322896,10610.47044167616,4672.747058167557,12946.651937101009,0.0,1185.0538636607378,0.0,1169.6234748109885,0.0,0.0,0.0,0.0,0.0,0.06695531102627443,0.1152665618684033,0.5175427801482145,3.0087837837837847,3.8555405405405407,74,-6.312658,49.919250,16,30,0.2,94,7,1023,89,16,15,0.7,1.3,16,260735.44084562748,0.469166,4.219230185342409,7,1574.9283552644006,5674.479724462285,586.7228523092273,412.20951877280964,4.219230185342409,28.128201235616057,2094.877760300645,7834.934706845073,663.9751249737121,4.219230185342409,35.16025154452007,2094.877760300645,7864.383562255509,0.38,28.128201235616057,874522.4201305076,139526.22158130593,0.38,7,871647.7933869996,25129.76654525693
7.44758064516129,7,13,21,683749.6457071408,111714.93262381274,43697.62581867086,34294.10309614136,6825.1558257164,6541.098713504753,4647.66447144409,939.7888557581997,944.8687955190547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06747692630401352,0.12700915955810385,0.23357397566773902,3.0109473684210504,3.7610526315789468,95,-6.312670,49.919250,16,28,0.0,94,10,1022,83,16,15,0.7,1.3,16,277082.164504581,0.469166,4.219230185342409,7,944.8687955190547,4775.490551424015,463.72276015649646,354.952237891841,4.219230185342409,28.128201235616057,737.725034353154,6593.6717514852435,524.7799304496633,4.219230185342409,35.16025154452007,737.725034353154,6618.455121519421,0.38,28.128201235616057,894092.6089420614,110276.06020668465,0.38,7,893354.8839077082,19534.348518031402
7.448924731182795,7,13,22,1002096.9962868007,125377.57410223412,80174.06928588879,24151.86370392453,14286.343068721997,7125.447826563995,8281.06845965229,1156.6812686110013,0.0,1172.0218689904577,0.0,0.0,0.0,0.0,1162.7690647615855,0.0,0.09933987274655354,0.16494167550371155,0.3792855249204666,3.0176000000000007,3.756133333333332,75,-6.312686,49.919240,16,29,0.0,92,10,1022,69,16,15,0.7,1.3,16,362227.7113959023,0.469166,3.8573845562827254,7,1172.0218689904577,4777.008682615193,462.3346907442882,568.0334326876306,3.8573845562827254,25.715897041884833,2499.7515461144612,6113.46059380456,502.34881396161956,3.8573845562827254,32.144871302356044,2499.7515461144612,6136.439013385651,0.38,25.715897041884833,1267484.586482264,83110.18706250604,0.38,7,1263822.065871388,22154.24819985031
7.450268817204301,7,13,23,2176702.4917264516,383336.9892832484,239747.92282079504,88700.85373254241,29124.369119592044,37377.1592107828,17322.55809047525,7392.924434484933,1209.1000740694703,3781.4700163652715,1195.8858656096945,1151.8269126661794,0.0,0.0,0.0,0.0,0.25729986431478963,0.4976132533811879,1.9263430647349744,3.0462666666666673,3.5949333333333326,75,-6.312705,49.919230,16,31,0.0,90,10,1022,54,16,14,0.9,1.4,16,1067640.923875421,0.469166,3.6028477467222917,7,5389.198712304639,5215.5064660356165,523.7010157937964,881.7489314839522,3.6028477467222917,24.01898497814861,10274.399466178136,6383.1871872019365,557.3304963295564,3.6028477467222917,30.02373122268576,10274.399466178136,6407.179417331109,0.38,24.01898497814861,2997317.9507532613,76694.50071601059,0.38,7,2985094.4671306773,28509.628373212778
7.451612903225806,7,14,0,1970150.4440821288,362857.79505338316,210448.02705552016,108595.90116409212,37276.020410168916,40092.05480441139,37098.30030528014,9716.921944648002,0.0,1390.7298675510592,2748.5421822999588,0.0,0.0,0.0,0.0,0.0,0.232655953318205,0.511057287083777,1.7380438104941414,2.957945205479453,3.354109589041096,73,-6.312693,49.919210,16,33,0.0,87,10,1022,40,16,14,0.9,1.4,16,1042880.2461055598,0.469166,3.3308881150869922,7,12023.832539632382,5516.516563673034,572.3449907968665,1411.7083900345617,3.3308881150869922,22.205920767246617,10640.980007787011,6480.663457206191,598.96747526494,3.3308881150869922,27.75740095905827,10640.980007787011,6505.022067488957,0.38,22.205920767246617,2791015.7168772705,66678.57827093317,0.38,7,2778542.3754146174,36711.848520224135
7.452956989247311,7,14,1,1991851.8200804677,314677.78433385276,181938.06074836804,79653.37859374745,28147.850529019823,28520.93152540473,27173.0650349722,3969.2141778173977,2670.1587823521822,0.0,0.0,1390.92311394303,0.0,0.0,0.0,0.0,0.21610725686316223,0.41842562247286624,1.4007312194083843,3.012179487179488,3.2030769230769227,78,-6.312688,49.919240,16,30,0.0,88,10,1021,60,16,14,0.9,1.4,16,884248.6237026398,0.469166,3.4108341827344444,7,6639.3729601695795,4484.593149625111,429.59931229015865,999.5925652851887,3.4108341827344444,22.738894551562964,6399.60721127103,5328.639651033642,451.5780042358051,3.4108341827344444,28.423618189453702,6399.60721127103,5348.668195557503,0.38,22.738894551562964,2666392.794131216,53591.343088426176,0.38,7,2658602.263806002,25129.76654525693
