Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1598958177,2020,9,1,11,2,57,10,9,5,2,0,1,1,0,0,0,0,0,0,0,0,0,3.00,2.51,0.49,1.14,2.29,
1,1598959857,2020,9,1,11,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,4.25,0.00,0.00,0.00,
1,1598959978,2020,9,1,11,32,58,17,8,4,5,1,1,1,2,1,0,0,0,0,0,0,0,3.00,2.53,0.47,1.64,14.98,
1,1598961659,2020,9,1,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30,4.25,0.00,0.00,0.00,
1,1598961747,2020,9,1,12,2,27,12,4,2,1,3,1,1,0,1,0,0,0,0,0,0,0,3.00,2.52,0.26,1.43,8.89,
1,1598961750,2020,9,1,12,2,30,14,8,7,5,1,2,0,0,0,1,0,0,0,0,0,0,3.03,2.57,0.58,2.15,14.93,
1,1598961753,2020,9,1,12,2,33,14,3,1,4,2,4,2,2,0,1,0,0,0,0,0,0,3.03,2.58,0.20,2.70,23.36,
1,1598961756,2020,9,1,12,2,36,11,3,3,3,1,5,0,0,0,0,0,0,0,0,0,0,3.03,2.58,0.27,2.90,2.90,
1,1598961759,2020,9,1,12,2,39,14,2,3,1,4,3,2,0,0,0,0,0,0,0,0,0,3.03,2.59,0.27,2.45,4.67,
1,1598961762,2020,9,1,12,2,42,17,0,2,5,1,3,1,1,0,0,0,0,0,0,0,0,3.03,2.59,0.20,2.18,6.15,
1,1598961765,2020,9,1,12,2,45,8,4,5,4,2,2,0,1,0,0,0,0,0,0,0,0,3.03,2.61,0.36,2.01,4.85,
1,1598961768,2020,9,1,12,2,48,13,4,2,1,1,2,0,0,1,0,0,0,0,0,0,0,3.03,2.63,0.25,1.38,7.37,
1,1598961771,2020,9,1,12,2,51,18,1,6,5,2,2,0,1,0,0,0,0,0,0,0,0,3.03,2.64,0.41,2.14,4.95,
1,1598961774,2020,9,1,12,2,54,9,2,5,0,1,3,2,0,0,0,0,0,0,0,0,0,3.03,2.64,0.33,1.77,3.94,
