Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1596360706,2020,8,2,9,31,46,11,6,2,3,1,6,7,2,0,2,2,0,0,0,0,0,3.00,2.57,0.28,3.37,94.42,
1,1596360709,2020,8,2,9,31,49,18,4,6,5,2,5,2,1,0,0,1,0,0,0,0,0,3.03,2.57,0.48,3.53,34.30,
1,1596360712,2020,8,2,9,31,52,22,4,7,3,1,3,3,0,0,0,0,0,0,0,0,0,3.03,2.61,0.55,2.31,5.61,
1,1596360715,2020,8,2,9,31,55,14,2,5,5,2,3,1,1,1,0,0,0,0,0,0,0,3.03,2.62,0.36,2.52,12.46,
1,1596360718,2020,8,2,9,31,58,14,2,2,2,1,3,3,0,2,0,0,0,0,0,0,0,3.03,2.63,0.22,1.87,17.12,
1,1596360721,2020,8,2,9,32,1,18,4,5,4,5,3,4,1,0,0,0,0,0,0,0,0,3.03,2.65,0.42,3.05,10.17,
1,1596360724,2020,8,2,9,32,4,15,6,7,3,3,4,5,2,0,1,0,0,0,0,0,0,3.03,2.61,0.54,3.12,26.85,
1,1596360727,2020,8,2,9,32,7,19,2,3,6,2,4,1,1,0,0,0,0,0,0,0,0,3.03,2.61,0.30,2.99,6.92,
1,1596360730,2020,8,2,9,32,10,19,2,2,5,4,9,6,0,0,0,0,0,0,0,0,0,3.03,2.60,0.25,5.35,11.95,
1,1596360733,2020,8,2,9,32,13,16,4,5,1,1,2,4,2,1,0,0,0,0,0,0,0,3.03,2.55,0.42,1.59,18.02,
1,1596360736,2020,8,2,9,32,16,15,6,2,4,4,7,4,0,2,0,0,0,0,0,0,0,3.03,2.53,0.31,4.59,21.58,
1,1596360739,2020,8,2,9,32,19,20,3,4,9,5,5,0,0,0,0,0,0,0,0,0,0,3.03,2.51,0.39,4.57,4.57,
1,1596360778,2020,8,2,9,32,58,17,5,1,4,1,2,1,0,1,1,0,0,0,0,0,0,3.00,2.51,0.26,1.78,22.47,
1,1596362457,2020,8,2,10,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,4.25,0.00,0.00,0.00,
1,1596362569,2020,8,2,10,2,49,7,4,5,3,1,2,2,0,0,0,0,0,0,0,0,0,3.00,2.50,0.37,1.78,4.09,
1,1596362572,2020,8,2,10,2,52,6,0,5,6,3,3,3,1,0,0,0,0,0,0,0,0,3.03,2.50,0.28,2.85,9.24,
1,1596362575,2020,8,2,10,2,55,6,2,4,4,2,1,3,1,1,0,0,0,0,0,0,0,3.03,2.51,0.27,1.55,14.17,
1,1596362578,2020,8,2,10,2,58,10,2,1,0,2,2,3,0,1,0,0,0,0,0,0,0,3.03,2.51,0.15,1.44,11.13,
1,1596364257,2020,8,2,10,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,4.25,0.00,0.00,0.00,
1,1596366162,2020,8,2,11,2,42,10,9,3,3,2,3,3,0,0,0,0,0,0,0,0,0,3.00,2.51,0.39,2.45,5.90,
1,1596367857,2020,8,2,11,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,4.25,0.00,0.00,0.00,
1,1596369650,2020,8,2,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,4.25,0.00,0.00,0.00,
1,1596369740,2020,8,2,12,2,20,12,8,8,8,2,3,1,1,0,0,0,0,0,0,0,0,3.00,2.52,0.63,3.21,7.32,
1,1596369744,2020,8,2,12,2,24,15,7,11,11,7,3,3,1,0,1,0,0,0,0,0,0,3.03,2.54,0.76,4.64,23.86,
1,1596369747,2020,8,2,12,2,27,13,4,7,8,4,5,4,1,1,0,0,1,0,0,0,0,3.03,2.54,0.50,4.31,67.55,
1,1596369750,2020,8,2,12,2,30,13,3,8,7,4,2,4,2,0,0,0,0,0,0,0,0,3.03,2.55,0.53,2.93,13.21,
1,1596369753,2020,8,2,12,2,33,17,10,10,7,4,1,2,0,1,0,0,0,0,0,0,0,3.03,2.64,0.76,2.67,10.80,
1,1596369756,2020,8,2,12,2,36,15,10,8,7,2,2,5,1,0,1,0,0,0,0,0,0,3.03,2.66,0.65,2.55,23.04,
1,1596369759,2020,8,2,12,2,39,8,9,12,11,7,3,2,2,1,1,0,0,0,0,0,0,3.03,2.57,0.80,4.63,31.55,
1,1596369762,2020,8,2,12,2,42,11,5,1,6,2,5,6,1,0,0,0,0,0,0,0,0,3.03,2.62,0.21,3.31,12.70,
1,1596369765,2020,8,2,12,2,45,17,5,8,8,2,6,6,1,0,0,0,0,0,0,0,0,3.03,2.66,0.57,4.21,13.44,
1,1596369768,2020,8,2,12,2,48,14,7,6,10,2,5,1,4,0,0,0,0,0,0,0,0,3.03,2.70,0.49,3.88,15.91,
1,1596369771,2020,8,2,12,2,51,13,8,7,8,3,5,5,0,0,0,1,0,0,0,0,0,3.03,2.75,0.53,3.86,33.02,
1,1596369774,2020,8,2,12,2,54,22,3,10,5,4,3,2,2,1,1,0,0,0,0,0,0,3.03,2.76,0.63,3.06,28.13,
1,1596369777,2020,8,2,12,2,57,15,11,3,8,3,2,0,1,1,0,0,0,0,0,0,0,3.03,2.77,0.42,2.54,10.90,
1,1596371458,2020,8,2,12,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,4.25,0.00,0.00,0.00,
1,1596371461,2020,8,2,12,31,1,4,2,7,5,4,0,2,0,1,0,0,0,1,0,0,0,3.03,2.58,0.40,1.72,10.06,
1,1596371464,2020,8,2,12,31,4,8,6,10,5,1,1,1,0,1,0,0,0,0,0,0,0,3.03,2.52,0.66,1.82,9.21,
1,1596371467,2020,8,2,12,31,7,10,1,9,3,1,7,2,0,0,0,0,0,0,0,0,0,3.03,2.56,0.51,4.02,6.25,
1,1596371470,2020,8,2,12,31,10,16,4,3,2,5,4,1,3,0,0,0,0,0,0,0,0,3.03,2.52,0.33,3.32,13.29,
1,1596371473,2020,8,2,12,31,13,10,7,8,7,2,2,3,0,1,0,0,0,0,0,0,0,3.03,2.51,0.59,2.62,12.31,
1,1596371479,2020,8,2,12,31,19,12,4,6,7,6,3,1,0,1,0,0,0,0,0,0,0,3.00,2.53,0.45,3.76,11.19,
1,1596371482,2020,8,2,12,31,22,11,10,4,5,2,4,4,2,0,0,0,0,0,0,0,0,3.03,2.52,0.46,3.14,13.57,
1,1596371485,2020,8,2,12,31,25,13,8,5,5,4,6,1,1,0,0,0,0,0,0,0,0,3.03,2.50,0.49,4.47,8.57,
1,1596371488,2020,8,2,12,31,28,13,6,6,7,4,4,2,0,0,0,0,0,0,0,0,0,3.03,2.50,0.50,3.82,6.11,
1,1596371512,2020,8,2,12,31,52,10,9,6,6,1,3,1,1,0,0,0,0,0,0,0,0,3.00,2.52,0.54,2.69,6.81,
1,1596371515,2020,8,2,12,31,55,15,8,6,5,3,2,4,2,0,0,0,0,0,0,0,0,3.03,2.53,0.54,2.55,12.91,
1,1596371518,2020,8,2,12,31,58,13,2,6,2,2,3,3,4,3,0,0,0,0,0,0,0,3.03,2.54,0.41,2.33,36.03,
1,1596371521,2020,8,2,12,32,1,10,2,5,5,2,3,1,0,1,0,0,0,0,0,0,0,3.03,2.56,0.34,2.55,9.83,
1,1596371525,2020,8,2,12,32,5,10,1,1,8,3,7,2,2,0,0,0,0,0,0,0,0,3.03,2.56,0.13,4.55,12.55,
1,1596371528,2020,8,2,12,32,8,15,3,8,7,1,6,3,3,0,0,0,0,0,0,0,0,3.03,2.57,0.54,4.01,16.01,
